Comuna,NO,Poblacion,Tasa
Alto del Carmen ,- ,5729 ,O 
Caldera ,- ,19426 ,O 
Chanaral ,- ,13164 ,O 
Copiapo ,- ,171766 ,"1,2 "
Diego de Almagro ,- ,14358 ,7 
Freirina ,- ,7681 ,O 
Huasco ,- ,11264 ,O 
Tierra Amarilla ,- ,14312 ,O 
Vallenar ,- ,57009 ,O 
Total ,3 ,314709 ,1 
