Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& ,425725 ,6134 ,1440.8 ,92 ,21.6 ,973 ,228.6 ,966 ,226.9 
Calama ,& ,190336 ,5711 ,3000.5 ,155 ,81.4 ,587 ,308.4 ,585 ,307.4 
Maria Elena ,,6814 ,298 ,4373.3 ,10 ,146.8 ,17 ,249.5 ,17 ,249.5 
Mejillones ,,14776 ,439 ,2971.0 ,4 ,27.1 ,29 ,196.3 ,29 ,196.3 
Ollague ,,287 ,17 ,5923.3 ,O ,0.0 ,7 ,2439.0 ,7 ,2439.0 
San Pedro de Atacama ,,10434 ,192 ,1840.1 ,4 ,38.3 ,44 ,421.7 ,44 ,421.7 
Sierra Gorda ,,1746 ,57 ,3264.6 ,O ,0.0 ,6 ,343.6 ,6 ,343.6 
Taltal ,& ,13657 ,109 ,798.1 ,2 ,14.6 ,27 ,197.7 ,27 ,197.7 
Tocopilla ,,28079 ,251 ,893.9 ,5 ,17.8 ,36 ,128.2 ,36 ,128.2 
Desconocido ,& ,- ,177 ,- ,O ,- ,61 ,- ,61 ,- 
Total ,,691854 ,13385 ,1934.7 ,272 ,39.3 ,1787 ,258.3 ,1778 ,257.0 
