Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcion,decontactosinvestigadosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Angol ,34 ,33 ,971 ,45 ,45 ,1000 
Carahue ,16 ,14 ,875 ,9 ,9 ,1000 
Cholchol ,1 ,1 ,1000 ,1 ,1 ,1000 
Collipulli ,29 ,29 ,1000 ,73 ,73 ,1000 
Cunco ,5 ,5 ,1000 ,14 ,14 ,1000 
Curacautin ,0 ,0 ,- ,0 ,0 ,- 
Curarrehue ,0 ,0 ,- ,0 ,0 ,- 
Ercilla ,3 ,3 ,1000 ,12 ,12 ,1000 
Freire ,2 ,2 ,1000 ,0 ,0 ,- 
Galvarino ,1 ,1 ,1000 ,1 ,1 ,1000 
Gorbea ,2 ,2 ,1000 ,0 ,0 ,- 
Lautaro ,5 ,5 ,1000 ,8 ,8 ,1000 
