ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,6021 ,2388.2 ,809 ,320.9 
Region de Tarapaca ,382773 ,10088 ,2635.5 ,753 ,196.7 
Region de Antofagasta ,691854 ,17382 ,2512.4 ,1250 ,180.7 
Region de Atacama ,314709 ,4399 ,1397.8 ,1018 ,323.5 
Region de Coquimbo ,836096 ,8892 ,1063.5 ,1146 ,137.1 
Region de Valparaiso ,1960170 ,27299 ,1392.7 ,2279 ,116.3 
Region Metropolitana de Santiago ,8125072 ,293989 ,3618.3 ,6700 ,82.5 
Region del Libertador General Bernardo O'Higgins ,991063 ,14403 ,1453.3 ,1279 ,129.1 
Region del Maule ,1131939 ,11047 ,975.9 ,929 ,82.1 
Region del Nuble ,511551 ,4894 ,956.7 ,406 ,79.4 
Region del Biobio ,1663696 ,15053 ,904.8 ,1950 ,117.2 
Region de la Araucania ,1014343 ,4579 ,451.4 ,279 ,27.5 
Region de Los Rios ,405835 ,1055 ,260.0 ,90 ,22.2 
Region de Los Lagos ,891440 ,5589 ,627.0 ,1017 ,114.1 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,95 ,88.5 ,11 ,10.3 
Region de Magallanes y la Antartica Chilena ,178362 ,2246 ,1259.2 ,351 ,196.8 
Desconocido ,- ,64 ,- ,2 ,- 
Total pais ,19458310 ,427095 ,2194.9 ,20269 ,104.2 
