Yungay&,18596,55,295.8,1,5.4,1,5.4,0,0,0,4,15,21,3,4,6
Total ,511551 ,824 ,161.1 ,55 ,10.8 ,55 ,10.8 ,0 ,1 ,35 ,167 ,218 ,162 ,73 ,59 ,49 
