Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,,15925 ,157 ,985.9 ,4 ,25.1 ,6 ,37.7 ,6 ,37.7 
Chimbarongo ,& ,37696 ,203 ,538.5 ,6 ,15.9 ,16 ,42.4 ,16 ,42.4 
Codegua ,& ,14096 ,226 ,1603.3 ,5 ,35.5 ,12 ,85.1 ,12 ,85.1 
Coinco ,,7831 ,125 ,1596.2 ,4 ,51.1 ,15 ,191.5 ,14 ,178.8 
Coltauco ,& ,21263 ,267 ,1255.7 ,8 ,37.6 ,48 ,225.7 ,48 ,225.7 
Donihue ,,22700 ,427 ,1881.1 ,7 ,30.8 ,29 ,127.8 ,29 ,127.8 
Graneros ,& ,36504 ,494 ,1353.3 ,4 ,11.0 ,30 ,82.2 ,29 ,79.4 
La Estrella ,,3114 ,36 ,1156.1 ,0 ,0.0 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,& ,26749 ,247 ,923.4 ,6 ,22.4 ,37 ,138.3 ,37 ,138.3 
Litueche ,,6765 ,90 ,1330.4 ,2 ,29.6 ,8 ,118.3 ,8 ,118.3 
Lolol ,,7289 ,57 ,782.0 ,2 ,27.4 ,9 ,123.5 ,9 ,123.5 
Machali ,& ,59913 ,1011 ,1687.4 ,12 ,20.0 ,46 ,76.8 ,46 ,76.8 
Malloa ,& ,14163 ,136 ,960.2 ,5 ,35.3 ,10 ,70.6 ,10 ,70.6 
Marchihue ,,7632 ,29 ,380.0 ,0 ,0.0 ,2 ,26.2 ,2 ,26.2 
Mostazal ,& ,27462 ,267 ,972.3 ,5 ,18.2 ,22 ,80.1 ,22 ,80.1 
Nancagua ,,19141 ,110 ,574.7 ,3 ,15.7 ,17 ,88.8 ,17 ,88.8 
Navidad ,,6904 ,76 ,1100.8 ,2 ,29.0 ,2 ,29.0 ,2 ,29.0 
Olivar ,& ,14624 ,223 ,1524.9 ,4 ,27.4 ,19 ,129.9 ,19 ,129.9 
Palmilla ,,13299 ,59 ,443.6 ,4 ,30.1 ,13 ,97.8 ,13 ,97.8 
Paredones ,,6349 ,30 ,472.5 ,2 ,31.5 ,8 ,126.0 ,8 ,126.0 
Peralillo ,,11848 ,62 ,523.3 ,1 ,8.4 ,6 ,50.6 ,6 ,50.6 
