Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,305 ,4118.8 ,21 ,283.6 ,21 ,283.6 
Buin ,& ,109641 ,2703 ,2465.3 ,100 ,91.2 ,100 ,91.2 
Calera de Tango ,& ,28525 ,633 ,2219.1 ,30 ,105.2 ,29 ,101.7 
Cerrillos ,& ,88956 ,3223 ,3623.1 ,42 ,47.2 ,42 ,47.2 
Cerro Navia ,& ,142465 ,7002 ,4914.9 ,114 ,80.0 ,113 ,79.3 
Colina ,& ,180353 ,4862 ,2695.8 ,117 ,64.9 ,116 ,64.3 
Conchali ,& ,139195 ,6526 ,4688.4 ,102 ,73.3 ,102 ,73.3 
Curacavi ,& ,36430 ,1013 ,2780.7 ,59 ,162.0 ,59 ,162.0 
EI Bosque ,& ,172000 ,6811 ,3959.9 ,136 ,79.1 ,135 ,78.5 
EI Monte ,,40014 ,1277 ,3191.4 ,19 ,47.5 ,19 ,47.5 
Estacion Central ,& ,206792 ,6515 ,3150.5 ,103 ,49.8 ,102 ,49.3 
Huechuraba ,& ,112528 ,4068 ,3615.1 ,73 ,64.9 ,73 ,64.9 
Independencia ,& ,142065 ,6811 ,4794.3 ,148 ,104.2 ,147 ,103.5 
Isla de Maipo ,& ,40171 ,1248 ,3106.7 ,62 ,154.3 ,61 ,151.9 
La Cisterna ,& ,100434 ,3442 ,3427.1 ,72 ,71.7 ,71 ,70.7 
La Florida ,& ,402433 ,14320 ,3558.4 ,264 ,65.6 ,264 ,65.6 
La Granja ,& ,122557 ,7249 ,5914.8 ,67 ,54.7 ,67 ,54.7 
La Pintana ,& ,189335 ,10973 ,5795.5 ,187 ,98.8 ,187 ,98.8 
La Reina ,& ,100252 ,2393 ,2387.0 ,37 ,36.9 ,37 ,36.9 
Lampa ,& ,126898 ,3749 ,2954.3 ,75 ,59.1 ,75 ,59.1 
Las Condes ,& ,330759 ,6208 ,1876.9 ,114 ,34.5 ,114 ,34.5 
Lo Barnechea ,& ,124076 ,3560 ,2869.2 ,82 ,66.1 ,82 ,66.1 
Lo Espejo ,& ,103865 ,4526 ,4357.6 ,95 ,91.5 ,95 ,91.5 
Lo Prado ,& ,104403 ,5239 ,5018.1 ,137 ,131.2 ,137 ,131.2 
Macul ,& ,134635 ,5233 ,3886.8 ,89 ,66.1 ,89 ,66.1 
