Olmue&,19266,53,275.1,2,10.4,17,88.2,17,88.2,0000,0110,0O,2,511,7,1113,2
Panquehue& ,7633 ,42 ,550.2 ,0 ,0.0 ,15 ,196.5 ,15 ,196.5 ,0 O 0 0 ,0 O 0 0 ,0 O ,4 ,5 6 ,4 ,14 3 ,6 
Papudo8 ,6201 ,50 ,806.3 ,0 ,0.0 ,16 ,258.0 ,16 ,258.0 ,0 0 0 0 ,O 0 0 1 ,0 0 ,0 ,6 4 ,13 ,15 6 ,5 
Petorca8 ,10558 ,28 ,265.2 ,0 ,0.0 ,3 ,28.4 ,3 ,28.4 ,0 0 0 1 ,4 1 O 0 ,0 0 ,1 ,4 4 ,8 ,3 2 ,O 
Puchuncavi8 ,20071 ,74 ,368.7 ,2 ,10.0 ,27 ,134.5 ,27 ,134.5 ,0 0 0 0 ,0 O O 0 ,0 0 ,4 ,7 6 ,8 ,26 17 ,6 
Putaendo& ,17645 ,93 ,527.1 ,0 ,0.0 ,31 ,175.7 ,31 ,175.7 ,0 0 0 1 ,0 0 1 3 ,2 2 ,6 ,7 7 ,13 ,27 21 ,3 
Quillota& ,97572 ,537 ,550.4 ,8 ,8.2 ,237 ,242.9 ,236 ,241.9 ,0 1 0 3 ,7 3 7 1 ,5 3 ,17 ,19 44 ,80 ,177 132 ,38 
Quilpue& ,167085 ,636 ,380.6 ,4 ,2.4 ,172 ,102.9 ,172 ,102.9 ,0 1 3 3 ,9 6 5 5 ,12 18 ,47 ,75 80 ,106 ,143 104 ,19 
Quintero8 ,36135 ,212 ,586.7 ,4 ,11.1 ,53 ,146.7 ,53 ,146.7 ,1 0 0 4 ,1 1 0 6 ,2 3 ,23 ,24 28 ,37 ,44 32 ,6 
Rinconada ,11263 ,90 ,799.1 ,0 ,0.0 ,24 ,213.1 ,24 ,213.1 ,0 0 0 0 ,0 3 0 0 ,0 0 ,2 ,13 17 ,16 ,20 15 ,4 
San Antonio& ,96761 ,749 ,774.1 ,18 ,18.6 ,99 ,102.3 ,98 ,101.3 ,0 0 0 0 ,6 14 11 22 ,38 68 ,60 ,96 91 ,136 ,129 70 ,8 
San Esteban& ,20643 ,89 ,431.1 ,0 ,0.0 ,23 ,111.4 ,23 ,111.4 ,0 0 0 0 ,0 0 0 1 ,2 2 ,7 ,3 10 ,15 ,31 13 ,5 
San Felipe& ,83494 ,609 ,729.4 ,9 ,10.8 ,212 ,253.9 ,211 ,252.7 ,0 0 0 3 ,2 2 0 1 ,2 6 ,17 ,60 69 ,110 ,179 138 ,20 
Santa Maria8 ,16367 ,98 ,598.8 ,0 ,0.0 ,40 ,244.4 ,40 ,244.4 ,0 0 0 0 ,2 0 0 0 ,4 15 ,2 ,5 8 ,13 ,17 25 ,7 
Santo Domingo8 ,11934 ,98 ,821.2 ,0 ,0.0 ,32 ,268.1 ,32 ,268.1 ,0 0 2 1 ,0 6 4 4 ,4 5 ,4 ,11 6 ,8 ,28 14 ,1 
Valparaiso& ,315732 ,1978 ,626.5 ,24 ,7.6 ,662 ,209.7 ,659 ,208.7 ,0 1 2 9 ,16 14 18 16 ,26 82 ,112 ,143 225 ,320 ,487 399 ,108 
Villa Alemana& ,139310 ,631 ,452.9 ,5 ,3.6 ,190 ,136.4 ,190 ,136.4 ,0 0 1 7 ,4 3 0 1 ,5 30 ,40 ,47 62 ,117 ,169 124 ,21 
Vina del Mar& ,361371 ,1753 ,485.1 ,31 ,8.6 ,433 ,119.8 ,430 ,119.0 ,0 0 6 21 ,28 22 13 21 ,25 78 ,137 ,194 222 ,285 ,386 256 ,59 
Zapallar& ,7994 ,6 ,75.1 ,0 ,0.0 ,3 ,37.5 ,3 ,37.5 ,0 O 0 0 ,0 O 0 0 ,O 0 ,0 ,0 0 ,1 ,2 3 ,O 
Desconocido ,- ,433 ,- ,0 ,- ,158 ,- ,158 ,- ,0 O 0 2 ,7 7 2 3 ,1 5 ,31 ,26 37 ,88 ,86 99 ,39 
Total ,,10551 ,,147 ,,3070 ,,3056 ,,15 75 ,106 107 ,161 380 ,645 ,996 1241 ,1763 ,2534 1861 ,459 
