Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cabo de Hornos ,1983 ,28 ,1412.0 ,2 ,100.9 ,2 ,100.9 
Laguna Blanca ,264 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Natales & ,23782 ,91 ,382.6 ,25 ,105.1 ,25 ,105.1 
Porvenir ,7323 ,77 ,1051.5 ,21 ,286.8 ,21 ,286.8 
Primavera ,694 ,7 ,1008.6 ,1 ,144.1 ,1 ,144.1 
Punta Arenas & ,141984 ,3869 ,2725.0 ,1031 ,726.1 ,1026 ,722.6 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 
Timaukel ,282 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido & ,- ,15 ,- ,7 ,- ,7 ,- 
Total ,178362 ,4089 ,2292.5 ,1087 ,609.4 ,1082 ,606.6 
