Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,35 ,610.9 ,20 ,349.1 ,20 ,349.1 
Caldera ,& 19426 ,199 ,1024.4 ,58 ,298.6 ,58 ,298.6 
Chanaral ,13164 ,87 ,660.9 ,17 ,129.1 ,17 ,129.1 
Copiapo ,& 171766 ,3546 ,2064.4 ,516 ,300.4 ,515 ,299.8 
Diego de Almagro ,14358 ,114 ,794.0 ,51 ,355.2 ,51 ,355.2 
Freirina ,& 7681 ,114 ,1484.2 ,36 ,468.7 ,35 ,455.7 
Huasco ,& 11264 ,56 ,497.2 ,11 ,97.7 ,11 ,97.7 
Tierra Amarilla ,& 14312 ,293 ,2047.2 ,47 ,328.4 ,46 ,321.4 
Vallenar ,& 57009 ,611 ,1071.8 ,74 ,129.8 ,74 ,129.8 
Desconocido ,& - ,31 ,- ,3 ,- ,3 ,- 
Total ,314709 ,5086 ,1616.1 ,833 ,264.7 ,830 ,263.7 
