Region,Notificadosdel4al10deJulio(%),Notificadosdel11al17dejulio(%)
Arica y Parinacota ,91.7 ,85.5 
Tarapaca ,87.4 ,74.8 
Antofagasta ,84.9 ,77.0 
Atacama ,92.6 ,81.2 
Coquimbo ,88.8 ,74.8 
Valparaiso ,75.6 ,72.6 
Metropolitana ,77.2 ,71.9 
O 'Higgins ,78.7 ,73.6 
Maule ,88.7 ,89.3 
Nuble ,84.5 ,81.9 
Biobio ,85.6 ,86.6 
Araucania ,81.0 ,84.4 
Los Rios ,96.3 ,92.4 
Los Lagos ,85.8 ,80.6 
Aysen ,98.5 ,96.6 
Magallanes ,78.8 ,68.6 
