Region,Poblacion,Confirmados,Tasaincidencia
Alhue ,7405 ,- ,0.0 
Buin ,109641 ,29 ,26.4 
Calera de Tango ,28525 ,8 ,28.0 
Cerrillos ,88956 ,21 ,23.6 
Cerro Navia ,142465 ,42 ,29.5 
Colina ,180353 ,66 ,36.6 
Conchali ,139195 ,47 ,33.8 
Curacavi ,36430 ,10 ,27.4 
EI Bosque ,172000 ,64 ,37.2 
EI Monte ,40014 ,9 ,22.5 
Estacion Central ,206792 ,61 ,29.5 
Huechuraba ,112528 ,38 ,33.8 
Independencia ,142065 ,37 ,26.0 
Isla de Maipo ,40171 ,10 ,24.9 
La Cisterna ,100434 ,34 ,33.9 
La Florida ,402433 ,126 ,31.3 
La Granja ,122557 ,36 ,29.4 
La Pintana ,189335 ,39 ,20.6 
La Reina ,100252 ,52 ,51.9 
Lampa ,126898 ,26 ,20.5 
Las Condes ,330759 ,281 ,85.0 
Lo Barnechea ,124076 ,110 ,88.7 
Lo Espejo ,103865 ,34 ,32.7 
Lo Prado ,104403 ,35 ,33.5 
Macul ,134635 ,43 ,31.9 
Maipu ,578605 ,167 ,28.9 
Maria Pinto ,14926 ,- ,0.0 
Melipilla ,141612 ,16 ,11.3 
Nunoa ,250192 ,155 ,62.0 
Padre Hurtado ,74188 ,20 ,27.0 
Paine ,82766 ,7 ,8.5 
Pedro Aguirre Cerda ,107803 ,36 ,33.4 
Penaflor ,101058 ,20 ,19.8 
Penalolen ,266798 ,98 ,36.7 
