Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,10914 ,2563.6 ,319 ,74.9 ,318 ,74.7 
Calama ,& 190336 ,7533 ,3957.7 ,101 ,53.1 ,101 ,53.1 
Maria Elena ,6814 ,350 ,5136.5 ,1 ,14.7 ,1 ,14.7 
Mejillones ,14776 ,600 ,4060.6 ,23 ,155.7 ,23 ,155.7 
Ollague ,287 ,24 ,8362.4 ,0 ,0.0 ,O ,0.0 
San Pedro de Atacama ,10434 ,351 ,3364.0 ,3 ,28.8 ,3 ,28.8 
Sierra Gorda ,1746 ,84 ,4811.0 ,4 ,229.1 ,4 ,229.1 
Taltal ,& 13657 ,182 ,1332.6 ,6 ,43.9 ,6 ,43.9 
Tocopilla ,& 28079 ,341 ,1214.4 ,5 ,17.8 ,5 ,17.8 
Desconocido ,& - ,293 ,- ,5 ,- ,5 ,- 
Total ,691854 ,20672 ,2987.9 ,467 ,67.5 ,466 ,67.4 
