Comuna,SE,SE,SE,SE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 ,10 ,11 ,12 ,13 ,14 ,15 16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
Alto Hospicio ,& O ,O ,O ,3 ,5 ,6 ,14 24 ,38 ,113 ,143 ,270 ,319 ,317 ,262 ,207 ,161 ,177 ,113 ,106 ,114 ,121 ,82 ,O 
Camina ,O ,O ,O ,O ,O ,O ,O O ,O ,O ,O ,O ,3 ,9 ,4 ,2 ,4 ,7 ,3 ,6 ,1 ,2 ,1 ,O 
Colchane ,O ,O ,O ,O ,O ,O ,O O ,O ,O ,O ,O ,2 ,1 ,10 ,17 ,15 ,15 ,12 ,6 ,3 ,10 ,1 ,O 
Huara ,& O ,0 ,O ,O ,O ,0 ,O 0 ,2 ,8 ,2 ,10 ,7 ,7 ,10 ,6 ,9 ,12 ,16 ,21 ,15 ,7 ,2 ,O 
Iquique ,& O ,O ,O ,9 ,7 ,14 ,12 21 ,42 ,103 ,258 ,403 ,505 ,462 ,444 ,464 ,424 ,349 ,335 ,288 ,278 ,325 ,146 ,O 
Pica ,& O ,O ,O ,O ,1 ,7 ,14 11 ,O ,1 ,4 ,1 ,7 ,8 ,10 ,10 ,10 ,14 ,42 ,38 ,24 ,24 ,25 ,O 
Pozo Almonte ,& O ,0 ,0 ,0 ,1 ,2 ,0 0 ,O ,3 ,5 ,15 ,38 ,58 ,90 ,104 ,61 ,36 ,75 ,56 ,47 ,38 ,112 ,O 
Desconocido ,& O ,O ,O ,O ,O ,O ,1 0 ,1 ,5 ,94 ,29 ,26 ,25 ,31 ,26 ,20 ,22 ,16 ,20 ,34 ,41 ,12 ,O 
Total ,0 ,0 ,0 ,12 ,14 ,29 ,41 56 ,83 ,233 ,506 ,728 ,907 ,887 ,861 ,836 ,704 ,632 ,612 ,541 ,516 ,568 ,381 ,0 
