Yungay&,18596,46,247.4,3,16.1,3,16.1,0,0,0,0,5,12,22,4,3,0
Total ,511551 ,721 ,140.9 ,78 ,15.2 ,77 ,15.1 ,1 ,0 ,1 ,39 ,166 ,219 ,161 ,71 ,53 ,10 
