Penco,&49865,709,1421.8,6,12.0,149,298.8,149,298.8
Quilaco ,4179 ,27 ,646.1 ,O ,0.0 ,4 ,95.7 ,4 ,95.7 
Quilleco ,10032 ,78 ,777.5 ,1 ,10.0 ,15 ,149.5 ,15 ,149.5 
San Pedro de la Paz ,& 145906 ,1189 ,814.9 ,17 ,11.7 ,150 ,102.8 ,150 ,102.8 
San Rosendo ,3611 ,36 ,997.0 ,1 ,27.7 ,1 ,27.7 ,1 ,27.7 
Santa Barbara ,14592 ,168 ,1151.3 ,3 ,20.6 ,14 ,95.9 ,14 ,95.9 
Santa Juana ,14779 ,101 ,683.4 ,4 ,27.1 ,10 ,67.7 ,10 ,67.7 
Talcahuano ,& 158345 ,1735 ,1095.7 ,18 ,11.4 ,236 ,149.0 ,235 ,148.4 
Tirua ,11019 ,42 ,381.2 ,O ,0.0 ,7 ,63.5 ,7 ,63.5 
Tome ,& 58729 ,652 ,1110.2 ,1 ,1.7 ,140 ,238.4 ,140 ,238.4 
Tucapel ,15205 ,165 ,1085.2 ,2 ,13.2 ,9 ,59.2 ,9 ,59.2 
Yumbel ,22132 ,241 ,1088.9 ,1 ,4.5 ,20 ,90.4 ,20 ,90.4 
Desconocido ,& - ,197 ,- ,0 ,- ,42 ,- ,42 ,- 
Total ,1663696 ,15741 ,946.1 ,161 ,9.7 ,2126 ,127.8 ,2119 ,127.4 
,,,,,,,,,
,SE SE SE ,SE SE SE ,SE SE SE ,SE SE ,SE SE SE ,SE SE ,SE SE ,SE SE ,SE SE SE 
Comuna ,9 10 11 ,12 13 14 ,15 16 17 ,18 19 ,20 21 22 ,23 24 ,25 26 ,27 28 ,29 30 31 
Alto Biobio ,O O O ,O O O ,O O O ,O O ,7 43 51 ,27 11 ,10 2 ,7 11 ,2 1 2 
Antuco ,0 0 0 ,0 0 0 ,0 0 0 ,0 2 ,2 2 13 ,2 5 ,14 4 ,5 5 ,1 7 0 
Arauco ,& 0 O 1 ,2 2 1 ,O O O ,5 4 ,14 17 24 ,22 34 ,65 62 ,29 13 ,33 44 45 
Cabrero ,0 O O ,1 O 4 ,3 7 1 ,3 4 ,2 3 3 ,8 24 ,35 14 ,11 11 ,11 1 13 
Canete ,0 O O ,0 0 0 ,0 O 0 ,0 O ,1 9 4 ,7 1 ,7 4 ,3 12 ,33 35 16 
Chiguayante ,0 0 5 ,5 9 16 ,12 10 13 ,8 8 ,9 9 27 ,40 59 ,52 51 ,60 72 ,64 69 56 
Concepcion ,& 1 1 7 ,28 31 23 ,23 18 15 ,20 19 ,21 92 98 ,136 248 ,248 167 ,128 135 ,156 145 154 
Contulmo ,0 O O ,O 0 0 ,0 O 0 ,O O ,0 1 1 ,O 0 ,11 27 ,3 O ,2 1 0 
Coronel ,& O O 1 ,6 7 4 ,1 O 5 ,2 13 ,16 50 132 ,111 156 ,225 170 ,151 101 ,114 116 127 
Curanilahue ,0 0 0 ,1 0 0 ,0 0 0 ,1 3 ,O 2 4 ,12 9 ,17 19 ,25 46 ,37 23 11 
