Grupoedad,Hombre,Mujer
00 04 anos ,3392 ,3141 
05 09 anos ,2733 ,2580 
10 14 anos ,3157 ,3237 
15 19 anos ,5467 ,6217 
20 24 anos ,14493 ,14441 
25 29 anos ,23090 ,22586 
30 34 anos ,23627 ,21054 
35 39 anos ,19530 ,16818 
40 44 anos ,16399 ,14221 
45 49 anos ,15952 ,14830 
50 54 anos ,15162 ,14112 
55 59 anos ,14247 ,12800 
60 64 anos ,10668 ,9062 
65 69 anos ,6751 ,6015 
70 74 anos ,4742 ,4533 
75 79 anos ,3243 ,3452 
80 y mas anos ,3919 ,6171 
