SagradaFamilia,19469,3,15.4,0,0.0,0,0.0,0000O1O,1O01,00O
San Clemente ,46292 ,44 ,95.0 ,19 ,41.0 ,19 ,41.0 ,O O O O O 1 2 ,6 1 8 6 ,13 7 O 
San Javier& ,49451 ,45 ,91.0 ,9 ,18.2 ,9 ,18.2 ,O O O O 2 6 4 ,7 4 3 8 ,8 3 0 
San Rafael& ,9959 ,41 ,411.7 ,32 ,321.3 ,32 ,321.3 ,0 0 O 0 1 0 1 ,1 O O 5 ,9 24 O 
Talca& ,236724 ,283 ,119.5 ,84 ,35.5 ,84 ,35.5 ,0 3 9 13 19 11 16 ,74 16 12 21 ,45 44 O 
Teno ,30850 ,11 ,35.7 ,4 ,13.0 ,4 ,13.0 ,O O O O O O 1 ,1 1 3 1 ,3 1 O 
Vichuquen ,4381 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 O O O O O ,O O O 0 ,0 O O 
Villa Alegre ,17512 ,5 ,28.6 ,2 ,11.4 ,2 ,11.4 ,O 0 O O O O 1 ,1 O O 1 ,2 O O 
Yerbas Buenas ,19200 ,18 ,93.8 ,12 ,62.5 ,12 ,62.5 ,0 O 0 O O 0 1 ,O 1 0 4 ,8 4 O 
Total ,1131939 ,974 ,86.0 ,383 ,33.8 ,382 ,33.7 ,1 4 12 26 51 47 66 ,160 47 48 108 ,219 185 0 
