Nacimiento,27944,46,164.6,O,0.0,7,25.1,7,25.1,OO02,3,32,O1,38,48,74,1
Negrete ,10429 ,58 ,556.1 ,O ,0.0 ,19 ,182.2 ,19 ,182.2 ,O 0 0 O ,O ,2 O ,O O ,O 7 ,12 10 ,9 8 ,10 
Penco& ,49865 ,82 ,164.4 ,0 ,0.0 ,39 ,78.2 ,39 ,78.2 ,O O 0 1 ,3 ,3 3 ,8 O ,3 2 ,2 10 ,11 32 ,4 
Quilaco ,4179 ,5 ,119.6 ,0 ,0.0 ,5 ,119.6 ,5 ,119.6 ,O O 0 O ,O ,O O ,O O ,0 O ,O O ,2 3 ,0 
Quilleco ,10032 ,6 ,59.8 ,0 ,0.0 ,4 ,39.9 ,4 ,39.9 ,0 0 0 O ,O ,O O ,O O ,0 O ,0 1 ,2 2 ,1 
San Pedro de la Paz& ,145906 ,279 ,191.2 ,0 ,0.0 ,67 ,45.9 ,67 ,45.9 ,O O 6 34 ,17 ,24 8 ,11 3 ,2 13 ,12 36 ,57 45 ,11 
San Rosendo ,3611 ,5 ,138.5 ,0 ,0.0 ,3 ,83.1 ,3 ,83.1 ,O O 0 O ,O ,O O ,O O ,0 1 ,1 0 ,1 2 ,0 
Santa Barbara ,14592 ,45 ,308.4 ,0 ,0.0 ,8 ,54.8 ,8 ,54.8 ,O O 0 O ,2 ,O O ,O O ,0 4 ,9 7 ,18 4 ,1 
Santa Juana ,14779 ,16 ,108.3 ,0 ,0.0 ,13 ,88.0 ,13 ,88.0 ,O O 0 O ,0 ,1 O ,O 1 ,0 O ,O O ,3 11 ,0 
Talcahuano& ,158345 ,289 ,182.5 ,1 ,0.6 ,62 ,39.2 ,62 ,39.2 ,O O 1 16 ,16 ,17 14 ,14 20 ,17 19 ,18 40 ,60 31 ,6 
Tirua ,11019 ,6 ,54.5 ,0 ,0.0 ,2 ,18.2 ,2 ,18.2 ,O O 0 1 ,2 ,1 0 ,O O ,O O ,O O ,0 2 ,0 
Tome ,58729 ,135 ,229.9 ,0 ,0.0 ,46 ,78.3 ,46 ,78.3 ,O O 0 9 ,11 ,12 7 ,9 1 ,4 17 ,4 8 ,12 39 ,2 
Tucapel ,15205 ,49 ,322.3 ,0 ,0.0 ,29 ,190.7 ,29 ,190.7 ,O 0 0 O ,O ,1 0 ,O O ,0 1 ,4 6 ,11 21 ,5 
Yumbel ,22132 ,37 ,167.2 ,0 ,0.0 ,6 ,27.1 ,6 ,27.1 ,O O 0 O ,5 ,O 1 ,1 1 ,2 4 ,3 5 ,13 O ,2 
Total ,1663696 ,3077 ,184.9 ,11 ,0.7 ,820 ,49.3 ,818 ,49.2 ,1 2 29 140 ,157 ,149 99 ,100 65 ,83 212 ,241 483 ,669 521 ,126 
