Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Hospicio ,& ,129999 ,2241 ,1723.9 ,34 ,26.2 ,119 ,91.5 ,119 ,91.5 
Camina ,,1375 ,37 ,2690.9 ,2 ,145.5 ,3 ,218.2 ,3 ,218.2 
Colchane ,,1583 ,78 ,4927.4 ,2 ,126.3 ,13 ,821.2 ,13 ,821.2 
Huara ,,3000 ,116 ,3866.7 ,4 ,133.3 ,28 ,933.3 ,28 ,933.3 
Iquique ,& ,223463 ,4073 ,1822.7 ,87 ,38.9 ,344 ,153.9 ,344 ,153.9 
Pica ,,5958 ,176 ,2954.0 ,0 ,0.0 ,57 ,956.7 ,57 ,956.7 
Pozo Almonte ,,17395 ,520 ,2989.4 ,9 ,51.7 ,56 ,321.9 ,55 ,316.2 
Desconocido ,& ,- ,336 ,- ,O ,- ,38 ,- ,38 ,- 
Total ,,382773 ,7577 ,1979.5 ,138 ,36.1 ,658 ,171.9 ,657 ,171.6 
