Romeral,16170,13,80.4,0,0.0,0,0.0,O00,120010
Sagrada Familia ,19469 ,3 ,15.4 ,1 ,5.1 ,1 ,5.1 ,0 0 0 ,0 0 1 0 1 
San Clemente ,46292 ,36 ,77.8 ,13 ,28.1 ,13 ,28.1 ,O O 0 ,O O 1 2 6 
San Javier ,49451 ,41 ,82.9 ,15 ,30.3 ,15 ,30.3 ,O O 0 ,O 2 6 4 7 
San Rafael ,9959 ,29 ,291.2 ,22 ,220.9 ,22 ,220.9 ,0 0 0 ,0 1 0 1 1 
Talca & ,236724 ,247 ,104.3 ,65 ,27.5 ,65 ,27.5 ,0 3 9 ,13 19 11 16 74 
Teno ,30850 ,9 ,29.2 ,2 ,6.5 ,2 ,6.5 ,O O 0 ,O O O 1 1 
Vichuquen ,4381 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,O 0 0 0 O 
Villa Alegre ,17512 ,4 ,22.8 ,1 ,5.7 ,1 ,5.7 ,O O 0 ,0 0 O 1 1 
Yerbas Buenas ,19200 ,15 ,78.1 ,10 ,52.1 ,10 ,52.1 ,0 O 0 ,O O 0 1 O 
Total ,1131939 ,800 ,70.7 ,278 ,24.6 ,277 ,24.5 ,1 4 12 ,26 51 47 66 159 
