Comuna,NO,Poblacion,Tasa
Alto Hospicio ,- ,129999 ,0.8 
Camina ,- ,1375 ,O 
Colchane ,- ,1583 ,O 
Huara ,- ,3000 ,O 
Iquique ,9 ,223463 ,2.2 
Pica ,- ,5958 ,O 
Pozo Almonte ,- ,17395 ,O 
Total ,10 ,382773 ,1.6 
