Pitrufquen&,26096,92,352.5,O,0.0,17,65.1,17,65.1,O004,9,4,O1,04,16,15,209,289
Pucon& ,29782 ,72 ,241.8 ,0 ,0.0 ,9 ,30.2 ,9 ,30.2 ,O O 1 3 ,O ,4 ,3 1 ,3 0 ,3 2 ,12 ,16 10 ,5 5 4 
Puren ,12188 ,21 ,172.3 ,1 ,8.2 ,6 ,49.2 ,6 ,49.2 ,O O 0 O ,2 ,0 ,0 2 ,O 2 ,1 O ,1 ,1 0 ,6 5 1 
Renaico ,10833 ,54 ,498.5 ,1 ,9.2 ,20 ,184.6 ,20 ,184.6 ,O O 0 O ,O ,1 ,3 2 ,1 4 ,3 5 ,4 ,2 3 ,6 14 6 
Saavedra ,12793 ,98 ,766.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 1 1 ,O ,1 ,5 8 ,17 13 ,18 11 ,9 ,4 6 ,4 0 0 
Temuco& ,302931 ,951 ,313.9 ,23 ,7.6 ,47 ,15.5 ,47 ,15.5 ,O 3 27 157 ,175 ,129 ,112 57 ,25 27 ,49 44 ,28 ,17 22 ,32 31 16 
Teodoro Schmidt& ,15786 ,33 ,209.0 ,0 ,0.0 ,10 ,63.3 ,10 ,63.3 ,0 O 0 1 ,2 ,0 ,1 1 ,O 0 ,0 1 ,3 ,1 2 ,11 9 1 
Tolten& ,10055 ,16 ,159.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 4 ,2 ,2 ,0 O ,0 0 ,0 2 ,5 ,1 0 ,0 0 0 
Traiguen& ,19314 ,44 ,227.8 ,0 ,0.0 ,11 ,57.0 ,11 ,57.0 ,0 O 0 O ,0 ,1 ,0 1 ,0 0 ,1 4 ,4 ,5 6 ,11 6 5 
Victoria ,35467 ,161 ,453.9 ,4 ,11.3 ,1 ,2.8 ,1 ,2.8 ,O O 1 2 ,9 ,2 ,2 30 ,20 11 ,2 4 ,20 ,14 23 ,20 1 O 
Vilcun ,30766 ,116 ,377.0 ,1 ,3.3 ,9 ,29.3 ,9 ,29.3 ,0 0 0 6 ,11 ,15 ,8 4 ,5 4 ,5 7 ,21 ,9 7 ,5 4 5 
Villarrica ,59103 ,90 ,152.3 ,0 ,0.0 ,26 ,44.0 ,26 ,44.0 ,0 0 0 2 ,10 ,6 ,1 O ,1 0 ,1 2 ,4 ,7 7 ,23 19 7 
Desconocido& ,- ,8 ,- ,0 ,- ,2 ,- ,2 ,- ,O 0 0 O ,2 ,0 ,0 O ,0 0 ,1 O ,1 ,1 O ,1 2 0 
Total ,1014343 ,3272 ,322.6 ,58 ,5.7 ,316 ,31.2 ,316 ,31.2 ,1 4 33 218 ,295 ,244 ,199 200 ,133 110 ,153 184 ,297 ,279 304 ,302 219 97 
