Pelarco,OOOO,OO3,2O24,5,4,56,3,3,3,3,115O
Pelluhue ,& O O O 1 ,O O 1 ,O O O 1 ,7 ,1 ,9 12 ,15 ,9 ,O ,3 ,1 O O 
Pencahue ,& 0 O O O ,O O O ,3 O O O ,O ,8 ,4 2 ,7 ,3 ,5 ,11 ,8 1 O 
Rauco ,O O O O ,1 1 O ,1 O O 1 ,1 ,7 ,7 6 ,15 ,3 ,9 ,8 ,15 7 O 
Retiro ,O O O O ,O O 1 ,O O 1 O ,1 ,17 ,42 14 ,18 ,12 ,12 ,12 ,1 1 O 
Rio Claro ,O O O 2 ,O 1 1 ,3 2 O 2 ,2 ,1 ,8 3 ,4 ,14 ,12 ,18 ,2 O O 
Romeral ,& O O O 1 ,2 O O ,10 O 0 O ,8 ,13 ,20 23 ,35 ,58 ,34 ,13 ,7 2 O 
Sagrada Familia ,& O O O O ,O 1 O ,1 O 1 1 ,O ,3 ,7 17 ,8 ,10 ,9 ,12 ,11 O O 
San Clemente ,O 1 O O ,O 1 2 ,7 1 7 7 ,14 ,18 ,20 39 ,44 ,59 ,85 ,77 ,55 10 O 
San Javier ,& O O 0 1 ,2 7 4 ,7 4 3 7 ,8 ,9 ,22 53 ,42 ,43 ,30 ,47 ,53 14 O 
San Rafael ,O O O O ,1 O 1 ,1 O O 5 ,10 ,28 ,7 17 ,8 ,11 ,14 ,12 ,5 O O 
Talca ,& O 4 9 13 ,19 11 15 ,74 17 13 24 ,53 ,74 ,83 169 ,209 ,269 ,253 ,229 ,151 21 O 
Teno ,O O O 1 ,O O 1 ,1 1 3 3 ,3 ,4 ,7 11 ,31 ,31 ,30 ,34 ,27 5 O 
Vichuquen ,0 O O O ,0 0 O ,O O O 0 ,0 ,O ,O 0 ,O ,0 ,O ,1 ,2 1 O 
Villa Alegre ,& O O O O ,0 O 1 ,1 O O 1 ,2 ,O ,9 17 ,9 ,11 ,14 ,22 ,12 5 O 
Yerbas Buenas ,O O O O ,O O 1 ,O 2 O 5 ,9 ,12 ,23 13 ,16 ,9 ,7 ,2 ,8 3 O 
Desconocido ,& 0 O O 1 ,O 0 O ,O 1 O O ,1 ,O ,4 7 ,7 ,11 ,5 ,O ,6 1 O 
,,,,,,,,,,,
