Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,251 ,3389.6 ,4 ,54.0 ,44 ,594.2 ,44 ,594.2 
Buin ,,109641 ,2507 ,2286.6 ,81 ,73.9 ,124 ,113.1 ,123 ,112.2 
Calera de Tango ,,28525 ,589 ,2064.9 ,9 ,31.6 ,12 ,42.1 ,12 ,42.1 
Cerrillos ,& ,88956 ,3120 ,3507.4 ,80 ,89.9 ,55 ,61.8 ,55 ,61.8 
Cerro Navia ,& ,142465 ,6725 ,4720.5 ,258 ,181.1 ,167 ,117.2 ,167 ,117.2 
Colina ,& ,180353 ,4656 ,2581.6 ,112 ,62.1 ,79 ,43.8 ,78 ,43.2 
Conchali ,& ,139195 ,6305 ,4529.6 ,229 ,164.5 ,124 ,89.1 ,123 ,88.4 
Curacavi ,,36430 ,926 ,2541.9 ,17 ,46.7 ,45 ,123.5 ,45 ,123.5 
EI Bosque ,& ,172000 ,6539 ,3801.7 ,216 ,125.6 ,106 ,61.6 ,106 ,61.6 
EI Monte ,& ,40014 ,1244 ,3108.9 ,43 ,107.5 ,46 ,115.0 ,46 ,115.0 
Estacion Central ,& ,206792 ,6298 ,3045.6 ,149 ,72.1 ,105 ,50.8 ,105 ,50.8 
Huechuraba ,& ,112528 ,3940 ,3501.4 ,138 ,122.6 ,113 ,100.4 ,113 ,100.4 
Independencia ,& ,142065 ,6567 ,4622.5 ,247 ,173.9 ,122 ,85.9 ,121 ,85.2 
Isla de Maipo ,& ,40171 ,1112 ,2768.2 ,20 ,49.8 ,64 ,159.3 ,64 ,159.3 
La Cisterna ,& ,100434 ,3276 ,3261.8 ,125 ,124.5 ,75 ,74.7 ,74 ,73.7 
La Florida ,& ,402433 ,13824 ,3435.1 ,481 ,119.5 ,262 ,65.1 ,260 ,64.6 
La Granja ,& ,122557 ,7092 ,5786.7 ,204 ,166.5 ,113 ,92.2 ,112 ,91.4 
La Pintana ,& ,189335 ,10402 ,5494.0 ,316 ,166.9 ,243 ,128.3 ,243 ,128.3 
La Reina ,& ,100252 ,2272 ,2266.3 ,90 ,89.8 ,57 ,56.9 ,57 ,56.9 
Lampa ,& ,126898 ,3609 ,2844.0 ,53 ,41.8 ,112 ,88.3 ,112 ,88.3 
Las Condes ,& ,330759 ,5956 ,1800.7 ,304 ,91.9 ,125 ,37.8 ,124 ,37.5 
Lo Barnechea ,& ,124076 ,3395 ,2736.2 ,74 ,59.6 ,80 ,64.5 ,80 ,64.5 
Lo Espejo ,& ,103865 ,4337 ,4175.6 ,189 ,182.0 ,73 ,70.3 ,73 ,70.3 
