ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,2493 ,988.9 ,591 ,234.4 
Region de Tarapaca ,382773 ,7110 ,1857.5 ,814 ,212.7 
Region de Antofagasta ,691854 ,11799 ,1705.4 ,1975 ,285.5 
Region de Atacama ,314709 ,1531 ,486.5 ,391 ,124.2 
Region de Coquimbo ,836096 ,4469 ,534.5 ,915 ,109.4 
Region de Valparaiso ,1960170 ,18452 ,941.3 ,2791 ,142.4 
Region Metropolitana de Santiago ,8125072 ,262725 ,3233.5 ,16885 ,207.8 
Region del Libertador General Bernardo OHiggins ,991063 ,9745 ,983.3 ,2159 ,217.8 
Region del Maule ,1131939 ,7453 ,658.4 ,1336 ,118.0 
Region del Nuble ,511551 ,3464 ,677.2 ,588 ,114.9 
Region del Biobio ,1663696 ,9120 ,548.2 ,1656 ,99.5 
Region de la Araucania ,1014343 ,3555 ,350.5 ,258 ,25.4 
Region de LOs Rios ,405835 ,778 ,191.7 ,70 ,17.2 
Region de Los Lagos ,891440 ,2306 ,258.7 ,549 ,61.6 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,47 ,43.8 ,6 ,5.6 
Region de Magallanes y la Antartica Chilena ,178362 ,1554 ,871.3 ,87 ,48.8 
Desconocido ,- ,73 ,- ,3 ,- 
Total pais ,19458310 ,346674 ,1781.6 ,31074 ,159.7 
