Region,Poblacion,Confirmados,Tasaincidencia
Ancud ,42458 ,- ,0.0 
Calbuco ,36744 ,5 ,13.6 
Castro ,47607 ,4 ,8.4 
Chaiten ,5020 ,- ,19.9 
Chonchi ,16013 ,- ,0.0 
Cochamo ,4006 ,- ,0.0 
Curaco de Velez ,4066 ,- ,0.0 
Dalcahue ,15069 ,- ,0.0 
Fresia ,12656 ,- ,0.0 
Frutillar ,20223 ,- ,14.8 
Futaleufu ,2806 ,- ,0.0 
Hualaihue ,9525 ,- ,31.5 
Llanquihue ,18621 ,- ,0.0 
Los Muermos ,17817 ,- ,5.6 
Maullin ,14894 ,- ,0.0 
Osorno ,173410 ,190 ,109.6 
Palena ,1827 ,- ,0.0 
Puerto Montt ,269398 ,35 ,13.0 
Puerto Octay ,9192 ,- ,10.9 
Puerto Varas ,48620 ,4 ,8.2 
Puqueldon ,4201 ,- ,0.0 
Purranque ,21080 ,5 ,23.7 
Puyehue ,11787 ,- ,8.5 
Queilen ,5543 ,- ,0.0 
Quellon ,29309 ,- ,0.0 
Quemchi ,8783 ,- ,0.0 
Quinchao ,8298 ,- ,12.1 
Rio Negro ,14275 ,- ,7.0 
San Juan de la Costa ,7639 ,7 ,91.6 
San Pablo ,10553 ,- ,19.0 
Por determinar ,,22 ,
Total ,891440 ,286 ,32.1 
