Olmue,19266,25,129.8,4,20.8,4,20.8,0O0OO,1,10,00,35,11,310
& Panquehue' ,7633 ,17 ,222.7 ,4 ,52.4 ,4 ,52.4 ,O 0 0 0 0 ,0 ,O O ,0 0 ,3 5 ,5 ,3 1 O 
Papudo ,6201 ,16 ,258.0 ,6 ,96.8 ,6 ,96.8 ,O O O O 0 ,O ,O O ,O 0 ,O 6 ,2 ,8 O O 
Petorca ,10558 ,21 ,198.9 ,6 ,56.8 ,6 ,56.8 ,O O O 1 4 ,1 ,O O ,O O ,1 4 ,4 ,6 O O 
Puchuncavi ,20071 ,24 ,119.6 ,10 ,49.8 ,10 ,49.8 ,0 0 O 0 O ,0 ,O 0 ,0 O ,2 7 ,5 ,7 3 0 
Putaendo ,17645 ,49 ,277.7 ,21 ,119.0 ,21 ,119.0 ,0 0 0 1 O ,0 ,1 3 ,2 2 ,6 7 ,6 ,12 9 0 
Quillota & ,97572 ,138 ,141.4 ,37 ,37.9 ,37 ,37.9 ,O 1 O 4 7 ,3 ,7 1 ,5 3 ,16 17 ,34 ,31 9 O 
Quilpue & ,167085 ,321 ,192.1 ,64 ,38.3 ,64 ,38.3 ,O 1 3 3 9 ,6 ,4 5 ,12 17 ,45 73 ,74 ,56 13 0 
& Quintero ,36135 ,122 ,337.6 ,31 ,85.8 ,30 ,83.0 ,1 0 O 3 1 ,O ,O 6 ,2 3 ,21 23 ,26 ,30 6 O 
Rinconada & ,11263 ,53 ,470.6 ,14 ,124.3 ,14 ,124.3 ,O 0 0 O O ,3 ,1 O ,0 0 ,2 13 ,17 ,14 3 O 
San Antonio & ,96761 ,538 ,556.0 ,127 ,131.3 ,127 ,131.3 ,O O O O 5 ,14 ,10 22 ,38 66 ,60 98 ,86 ,106 33 0 
San Esteban & ,20643 ,43 ,208.3 ,19 ,92.0 ,19 ,92.0 ,O O O O O ,O ,O 1 ,2 2 ,7 3 ,9 ,11 8 O 
San Felipe & ,83494 ,267 ,319.8 ,114 ,136.5 ,113 ,135.3 ,O O O 3 2 ,2 ,O O ,2 4 ,15 57 ,62 ,79 41 0 
Santa Maria & ,16367 ,46 ,281.1 ,15 ,91.6 ,15 ,91.6 ,0 O O O 2 ,O ,O O ,4 12 ,2 5 ,6 ,11 4 O 
Santo Domingo ,11934 ,57 ,477.6 ,10 ,83.8 ,10 ,83.8 ,0 O 2 2 O ,6 ,4 4 ,4 5 ,4 10 ,6 ,7 3 O 
Valparaiso ,315732 ,922 ,292.0 ,266 ,84.2 ,263 ,83.3 ,O 1 2 9 17 ,13 ,18 14 ,26 81 ,110 135 ,204 ,211 81 0 
Villa Alemana ,139310 ,288 ,206.7 ,89 ,63.9 ,88 ,63.2 ,O O 1 7 3 ,3 ,O 1 ,5 28 ,38 50 ,51 ,80 21 0 
Vina del Mar ,361371 ,992 ,274.5 ,236 ,65.3 ,234 ,64.8 ,0 0 6 21 27 ,21 ,11 19 ,23 75 ,131 186 ,206 ,193 73 0 
Zapallar ,7994 ,3 ,37.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 0 ,0 ,0 0 ,0 0 ,0 3 ,0 ,0 0 0 
