Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,77 ,653.0 ,15 ,127.2 ,15 ,127.2 
Canela ,9546 ,62 ,649.5 ,22 ,230.5 ,22 ,230.5 
Combarbala ,13884 ,56 ,403.3 ,12 ,86.4 ,12 ,86.4 
Coquimbo ,& 256735 ,3640 ,1417.8 ,473 ,184.2 ,473 ,184.2 
Illape ,& 32801 ,388 ,1182.9 ,42 ,128.0 ,42 ,128.0 
La Higuera ,& 4450 ,95 ,2134.8 ,3 ,67.4 ,3 ,67.4 
La Serena ,& 249656 ,2988 ,1196.8 ,277 ,111.0 ,275 ,110.2 
LOs Vilos ,& 23374 ,205 ,877.0 ,36 ,154.0 ,35 ,149.7 
Monte Patria ,& 32527 ,362 ,1112.9 ,53 ,162.9 ,53 ,162.9 
Ovalle ,& 121269 ,1855 ,1529.7 ,296 ,244.1 ,296 ,244.1 
Paiguano ,& 4675 ,17 ,363.6 ,4 ,85.6 ,4 ,85.6 
Punitaqui ,12165 ,140 ,1150.8 ,26 ,213.7 ,26 ,213.7 
Rio Hurtado ,4372 ,40 ,914.9 ,3 ,68.6 ,3 ,68.6 
Salamanca ,& 29110 ,183 ,628.6 ,16 ,55.0 ,16 ,55.0 
Vicuna ,& 29741 ,186 ,625.4 ,18 ,60.5 ,18 ,60.5 
Desconocido ,& - ,141 ,- ,6 ,- ,6 ,- 
Total ,836096 ,10435 ,1248.1 ,1302 ,155.7 ,1299 ,155.4 
