Vitacura&,96774,859,887.6,128,132.3,126,130.2,O7,32,46,29,12,6,5,13,56,146,195,158,110,44
Total ,8125072 ,112029 ,1378.8 ,18118 ,223.0 ,17988 ,221.4 ,14 72 ,337 ,964 ,1038 ,1286 ,1606 ,2345 ,4352 ,10558 ,19675 ,24749 ,24267 ,16699 ,4066 
