LasCondes&,330759,355,107.3,38,11.5,37,11.2,0660,12066,36,26,24,170
Lo Barnechea& ,124076 ,194 ,156.4 ,46 ,37.1 ,46 ,37.1 ,O 2 14 ,52 26 ,16 ,34 ,30 ,20 0 
Lo Espejo ,103865 ,100 ,96.3 ,40 ,38.5 ,40 ,38.5 ,0 O 1 ,4 7 ,23 ,25 ,19 ,21 0 
Lo Prado ,104403 ,111 ,106.3 ,48 ,46.0 ,48 ,46.0 ,O 1 2 ,5 19 ,13 ,20 ,22 ,29 O 
Macu ,134635 ,110 ,81.7 ,46 ,34.2 ,45 ,33.4 ,O 1 3 ,11 21 ,14 ,11 ,16 ,33 0 
Maipu& ,578605 ,399 ,69.0 ,118 ,20.4 ,118 ,20.4 ,O 0 13 ,46 66 ,73 ,72 ,91 ,38 0 
Maria Pinto ,14926 ,1 ,6.7 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,O 0 ,0 ,1 ,0 ,0 O 
Melipilla ,141612 ,48 ,33.9 ,24 ,16.9 ,24 ,16.9 ,0 1 1 ,4 6 ,4 ,7 ,19 ,6 0 
Nunoa& ,250192 ,291 ,116.3 ,83 ,33.2 ,83 ,33.2 ,1 1 26 ,52 35 ,45 ,44 ,60 ,27 O 
Padre Hurtado ,74188 ,40 ,53.9 ,9 ,12.1 ,9 ,12.1 ,O 1 0 ,5 9 ,5 ,11 ,4 ,5 0 
Paine& ,82766 ,15 ,18.1 ,3 ,3.6 ,3 ,3.6 ,O 1 0 ,2 0 ,4 ,4 ,1 ,3 0 
Pedro Aguirre Cerda ,107803 ,129 ,119.7 ,48 ,44.5 ,48 ,44.5 ,O 0 3 ,4 13 ,19 ,41 ,29 ,20 O 
Penaflor ,101058 ,51 ,50.5 ,22 ,21.8 ,22 ,21.8 ,O 1 4 ,3 9 ,4 ,7 ,12 ,11 O 
Penalolen& ,266798 ,254 ,95.2 ,97 ,36.4 ,96 ,36.0 ,O 2 9 ,25 32 ,34 ,50 ,58 ,44 0 
Pirque ,30433 ,19 ,62.4 ,6 ,19.7 ,6 ,19.7 ,O 0 2 ,2 3 ,1 ,5 ,3 ,3 0 
Providencia ,157749 ,200 ,126.8 ,29 ,18.4 ,29 ,18.4 ,O 4 28 ,62 20 ,21 ,30 ,28 ,7 O 
Pudahuel ,253139 ,167 ,66.0 ,57 ,22.5 ,56 ,22.1 ,1 1 1 ,19 20 ,29 ,37 ,27 ,32 0 
Puente Alto8 ,645909 ,764 ,118.3 ,267 ,41.3 ,266 ,41.2 ,O 1 7 ,53 95 ,146 ,165 ,207 ,90 0 
Quilicura& ,254694 ,236 ,92.7 ,113 ,44.4 ,113 ,44.4 ,O 2 3 ,18 23 ,37 ,32 ,81 ,40 O 
Quinta Normal ,136368 ,194 ,142.3 ,60 ,44.0 ,60 ,44.0 ,O 2 4 ,13 24 ,36 ,46 ,40 ,29 O 
Recoleta8 ,190075 ,226 ,118.9 ,116 ,61.0 ,116 ,61.0 ,O O 5 ,14 16 ,26 ,39 ,60 ,66 O 
Renca& ,160847 ,131 ,81.4 ,72 ,44.8 ,72 ,44.8 ,O O 4 ,8 10 ,5 ,28 ,54 ,22 0 
San Bernardo& ,334836 ,372 ,111.1 ,163 ,48.7 ,162 ,48.4 ,1 1 6 ,20 35 ,64 ,70 ,108 ,67 O 
San Joaquin ,103485 ,149 ,144.0 ,59 ,57.0 ,59 ,57.0 ,0 0 1 ,14 22 ,13 ,32 ,35 ,32 0 
San Jose de Maipo ,18644 ,8 ,42.9 ,3 ,16.1 ,3 ,16.1 ,O 0 1 ,1 1 ,1 ,1 ,0 ,3 0 
San Miguel ,133059 ,173 ,130.0 ,55 ,41.3 ,55 ,41.3 ,O 0 3 ,24 20 ,24 ,40 ,39 ,23 O 
San Pedro ,11953 ,2 ,16.7 ,2 ,16.7 ,2 ,16.7 ,O 0 O ,O O ,O ,O ,1 ,1 O 
San Ramon ,86510 ,90 ,104.0 ,55 ,63.6 ,55 ,63.6 ,O 0 0 ,1 11 ,8 ,12 ,36 ,22 0 
