Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,1 ,18.4 ,1 ,18.4 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,1 ,6.6 ,1 ,6.6 
La Union ,39538 ,95 ,240.3 ,3 ,7.6 ,11 ,27.8 ,11 ,27.8 
Lago Ranco ,10292 ,7 ,68.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Lanco ,17652 ,28 ,158.6 ,O ,0.0 ,1 ,5.7 ,1 ,5.7 
LOs Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,0 ,0.0 ,O ,0.0 
Mafil ,7389 ,20 ,270.7 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Mariquina ,23250 ,31 ,133.3 ,O ,0.0 ,11 ,47.3 ,11 ,47.3 
Paillaco ,20798 ,33 ,158.7 ,1 ,4.8 ,1 ,4.8 ,1 ,4.8 
Panguipulli ,35991 ,65 ,180.6 ,1 ,2.8 ,9 ,25.0 ,9 ,25.0 
Rio Bueno ,32925 ,29 ,88.1 ,0 ,0.0 ,2 ,6.1 ,2 ,6.1 
Valdivia & ,176774 ,381 ,215.5 ,6 ,3.4 ,58 ,32.8 ,58 ,32.8 
Desconocido & ,- ,6 ,- ,O ,- ,O ,- ,0 ,- 
Total ,405835 ,845 ,208.2 ,12 ,3.0 ,95 ,23.4 ,95 ,23.4 
