Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,27 ,495.7 ,1 ,18.4 ,1 ,18.4 
Futrono ,15261 ,66 ,432.5 ,1 ,6.6 ,1 ,6.6 
La Union ,39538 ,154 ,389.5 ,32 ,80.9 ,32 ,80.9 
Lago Ranco ,10292 ,19 ,184.6 ,3 ,29.1 ,3 ,29.1 
Lanco ,17652 ,108 ,611.8 ,17 ,96.3 ,17 ,96.3 
Los Lagos ,20518 ,74 ,360.7 ,3 ,14.6 ,3 ,14.6 
Mafil ,7389 ,66 ,893.2 ,5 ,67.7 ,5 ,67.7 
Mariquina ,23250 ,66 ,283.9 ,4 ,17.2 ,4 ,17.2 
Paillaco ,20798 ,61 ,293.3 ,14 ,67.3 ,14 ,67.3 
Panguipulli ,35991 ,201 ,558.5 ,54 ,150.0 ,54 ,150.0 
Rio Bueno ,32925 ,137 ,416.1 ,29 ,88.1 ,29 ,88.1 
Valdivia ,& 176774 ,792 ,448.0 ,116 ,65.6 ,116 ,65.6 
Desconocido ,& - ,7 ,- ,O ,- ,O ,- 
Total ,405835 ,1778 ,438.1 ,279 ,68.7 ,279 ,68.7 
