ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,806 ,319.7 ,248 ,98.4 ,550 
Region de Tarapaca ,382773 ,2955 ,772.0 ,850 ,222.1 ,2080 
Region de Antofagasta ,691854 ,2866 ,414.2 ,355 ,51.3 ,2468 
Region de Atacama ,314709 ,277 ,88.0 ,84 ,26.7 ,193 
Region de Coquimbo ,836096 ,851 ,101.8 ,211 ,25.2 ,632 
Region de Valparaiso ,1960170 ,4317 ,220.2 ,1113 ,56.8 ,3115 
Region Metropolitana de Santiago ,8125072 ,98958 ,1217.9 ,16203 ,199.4 ,81445 
Region del Libertador General Bernardo OHiggins ,991063 ,1047 ,105.6 ,208 ,21.0 ,824 
Region del Maule ,1131939 ,1872 ,165.4 ,735 ,64.9 ,1116 
Region de Nuble ,511551 ,1440 ,281.5 ,248 ,48.5 ,1162 
Region del Biobio ,1663696 ,2374 ,142.7 ,778 ,46.8 ,1583 
Region de la Araucania ,1014343 ,2279 ,224.7 ,349 ,34.4 ,1882 
Region de Los Rios ,405835 ,398 ,98.1 ,76 ,18.7 ,314 
Region de Los Lagos ,891440 ,938 ,105.2 ,182 ,20.4 ,743 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,15 ,14.0 ,6 ,5.6 ,9 
Region de Magallanes y la Antartica Chilena ,178362 ,1070 ,599.9 ,39 ,21.9 ,1012 
Desconocido ,- ,36 ,-- ,3 ,- ,33 
Total pais ,19458310 ,122499 ,629.5 ,21693 ,111.5 ,99161 
