Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,418 ,745.7 ,9 ,16.1 ,50 ,89.2 ,50 ,89.2 
Carahue ,25486 ,85 ,333.5 ,0 ,0.0 ,4 ,15.7 ,4 ,15.7 
Cholchol ,12341 ,31 ,251.2 ,O ,0.0 ,7 ,56.7 ,7 ,56.7 
Collipulli ,& 26148 ,68 ,260.1 ,3 ,11.5 ,2 ,7.6 ,2 ,7.6 
Cunco ,18055 ,64 ,354.5 ,2 ,11.1 ,7 ,38.8 ,7 ,38.8 
Curacautin ,& 18178 ,25 ,137.5 ,1 ,5.5 ,2 ,11.0 ,2 ,11.0 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,O ,0.0 ,O ,0.0 
Ercilla ,8458 ,23 ,271.9 ,O ,0.0 ,4 ,47.3 ,4 ,47.3 
Freire ,25446 ,112 ,440.1 ,1 ,3.9 ,1 ,3.9 ,1 ,3.9 
Galvarino ,12633 ,133 ,1052.8 ,O ,0.0 ,7 ,55.4 ,7 ,55.4 
Gorbea ,15148 ,39 ,257.5 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 
Lautaro ,& 40746 ,124 ,304.3 ,2 ,4.9 ,4 ,9.8 ,4 ,9.8 
Loncoche ,24739 ,83 ,335.5 ,2 ,8.1 ,4 ,16.2 ,4 ,16.2 
Lonquimay ,11049 ,70 ,633.5 ,2 ,18.1 ,0 ,0.0 ,O ,0.0 
Los Sauces ,7517 ,21 ,279.4 ,0 ,0.0 ,4 ,53.2 ,4 ,53.2 
Lumaco ,10050 ,41 ,408.0 ,O ,0.0 ,3 ,29.9 ,3 ,29.9 
Melipeuco ,6265 ,11 ,175.6 ,0 ,0.0 ,2 ,31.9 ,2 ,31.9 
Nueva Imperia ,& 33777 ,127 ,376.0 ,2 ,5.9 ,2 ,5.9 ,2 ,5.9 
Padre Las Casas ,& 82110 ,203 ,247.2 ,5 ,6.1 ,18 ,21.9 ,18 ,21.9 
Perquenco ,7223 ,40 ,553.8 ,O ,0.0 ,2 ,27.7 ,2 ,27.7 
Pitrufquen ,& 26096 ,93 ,356.4 ,O ,0.0 ,2 ,7.7 ,2 ,7.7 
