Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Natales ,23782 ,56 ,235.5 ,O ,0.0 ,3 ,12.6 ,3 ,12.6 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Punta Arenas & ,141984 ,1952 ,1374.8 ,30 ,21.1 ,303 ,213.4 ,303 ,213.4 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Timaukel ,282 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Desconocido & ,- ,71 ,- ,O ,- ,1 ,- ,1 ,- 
Total ,178362 ,2114 ,1185.2 ,30 ,16.8 ,307 ,172.1 ,307 ,172.1 
