,,,,,,,,,Numero,de,CasosNuevos,segun,semana,epidemiologic,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) ,SE 17 (19 de abril al 25 de abril) 
Ancud& ,42458 ,9 ,21.2 ,5 ,11.8 ,5 ,11.8 ,O ,0 ,O ,O ,O ,O ,5 ,3 ,1 
Calbuco& ,36744 ,7 ,19.1 ,1 ,2.7 ,1 ,2.7 ,O ,0 ,O ,3 ,1 ,1 ,1 ,1 ,0 
Castro ,47607 ,7 ,14.7 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,2 ,O ,5 ,O ,O ,0 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,0 ,0.0 ,0 ,O ,O ,0 ,1 ,0 ,O ,0 ,0 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,O ,0 ,0 
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,1 ,0 ,0 
Curaco de Velez ,4066 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,O ,0 ,0 
Dalcahue ,15069 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,O ,0 ,O ,0 ,0 
Fresia& ,12656 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,0 ,0 
Frutillar ,20223 ,6 ,29.7 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,1 ,3 ,2 ,O ,0 
Futaleufu ,2806 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,O ,0 ,0 
Hualaihue ,9525 ,3 ,31.5 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 
Llanquihue ,18621 ,1 ,5.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,1 ,0 ,O ,0 ,0 
Los Muermos ,17817 ,1 ,5.6 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,1 ,0 ,0 ,O ,O ,0 
Maullin ,14894 ,1 ,6.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
Osorno& ,173410 ,278 ,160.3 ,27 ,15.6 ,27 ,15.6 ,0 ,0 ,3 ,58 ,105 ,58 ,33 ,18 ,3 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,O ,0 ,0 
Puerto Montt& ,269398 ,73 ,27.1 ,5 ,1.9 ,5 ,1.9 ,0 ,1 ,10 ,23 ,19 ,12 ,3 ,5 ,0 
Puerto Octay& ,9192 ,2 ,21.8 ,1 ,10.9 ,1 ,10.9 ,0 ,0 ,O ,1 ,O ,0 ,O ,1 ,0 
Puerto Varas& ,48620 ,9 ,18.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,1 ,0 ,2 ,4 ,2 ,0 ,0 
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,O ,0 ,O ,0 ,0 
Purranque& ,21080 ,17 ,80.6 ,1 ,4.7 ,1 ,4.7 ,0 ,0 ,O ,0 ,3 ,10 ,3 ,1 ,0 
