Comuna,Poblacion,Confirmados,Tasadeincidencia
Alto Biobio ,6775 ,- ,"0,0 "
Antuco ,4306 ,- ,"0,0 "
Arauco ,38679 ,6 ,"15,5 "
Cabrero ,30725 ,- ,"3,3 "
Canete ,37003 ,- ,"0,0 "
Chiguayante ,91180 ,26 ,"28,5 "
Concepcion ,238092 ,53 ,"22,3 "
Contulmo ,6330 ,- ,"0,0 "
Coronel ,125829 ,12 ,"9,5 "
Curanilahue ,33892 ,- ,"3,0 "
Florida ,11841 ,- ,"16,9 "
Hualpen ,97273 ,50 ,"51,4 "
Hualqui ,26201 ,- ,"11,4 "
Laja ,23873 ,- ,"12,6 "
Lebu ,27100 ,- ,"0,0 "
LOs Alamos ,22524 ,- ,"0,0 "
LOs Angeles ,218515 ,12 ,"5,5 "
Lota ,45750 ,- ,"2,2 "
Mulchen ,31041 ,5 ,"16,1 "
Nacimiento ,27944 ,- ,"7,2 "
Negrete ,10429 ,- ,"0,0 "
Penco ,49865 ,- ,"6,0 "
Quilaco ,4179 ,- ,"0,0 "
Quilleco ,10032 ,- ,"0,0 "
San Pedro de la Paz ,145906 ,56 ,"38,4 "
San Rosendo ,3611 ,- ,"0,0 "
Santa Barbara ,14592 ,- ,"13,7 "
Santa Juana ,14779 ,- ,"0,0 "
Talcahuano ,158345 ,29 ,"18,3 "
Tirua ,11019 ,- ,"18,2 "
Tome ,58729 ,9 ,"15,3 "
Tucapel ,15205 ,- ,"0,0 "
Yumbel ,22132 ,5 ,"22,6 "
Por determinar ,- ,19 ,
Total ,1663696 ,302 ,"18,2 "
