Grupoedad,Hombre,Mujer
00 04 anos ,3919 ,3572 
05 09 anos ,3220 ,3030 
10 14 anos ,3623 ,3752 
15 19 anos ,6230 ,7070 
20 24 anos ,16041 ,16009 
25 29 anos ,25323 ,24810 
30 34 anos ,25881 ,23118 
35 39 anos ,21290 ,18468 
40 44 anos ,17946 ,15636 
45 49 anos ,17550 ,16324 
50 54 anos ,16692 ,15547 
55 59 anos ,15706 ,14127 
60 64 anos ,11746 ,10066 
65 69 anos ,7427 ,6676 
70 74 anos ,5286 ,5051 
75 79 anos ,3598 ,3883 
80 y mas anos ,4360 ,6858 
