Yungay8,18596,76,408.7,0,0.0,11,59.2,11,59.2,00O,31621346222O6,245
Desconocido ,- ,6 ,- ,0 ,- ,5 ,- ,5 ,- ,O O 0 ,O 1 0 0 0 O 0 0 O O 0 ,0 0 5 
Total ,511551 ,2353 ,460.0 ,25 ,4.9 ,677 ,132.3 ,675 ,132.0 ,0 1 35 ,167 222 165 74 60 51 41 75 176 164 214 ,316 356 236 
