LoPrado&,104403,4055,3884.0,111,106.3,299,286.4,297,284.5,003,621,1624,31,105,196,351,496,505611,526
Macul& ,134635 ,4284 ,3181.9 ,121 ,89.9 ,298 ,221.3 ,296 ,219.9 ,0 1 3 ,17 23 ,20 14 ,23 ,79 ,191 ,437 ,533 ,634 550 ,629 
Maipu ,578605 ,12306 ,2126.8 ,266 ,46.0 ,1132 ,195.6 ,1128 ,195.0 ,0 1 13 ,50 73 ,83 96 ,117 ,156 ,427 ,902 ,1323 ,1559 1683 ,1827 
Maria Pinto8 ,14926 ,270 ,1808.9 ,4 ,26.8 ,56 ,375.2 ,56 ,375.2 ,0 0 0 ,0 0 ,0 1 ,0 ,2 ,2 ,18 ,24 ,36 37 ,39 
Melipilla ,141612 ,3051 ,2154.5 ,74 ,52.3 ,414 ,292.3 ,412 ,290.9 ,0 1 1 ,6 5 ,5 8 ,24 ,37 ,85 ,105 ,212 ,350 481 ,470 
Nunoa& ,250192 ,4832 ,1931.3 ,182 ,72.7 ,361 ,144.3 ,359 ,143.5 ,1 1 27 ,55 43 ,49 47 ,67 ,71 ,153 ,364 ,534 ,750 659 ,669 
Padre Hurtado& ,74188 ,1724 ,2323.8 ,40 ,53.9 ,183 ,246.7 ,181 ,244.0 ,0 1 0 ,5 10 ,5 13 ,10 ,16 ,60 ,98 ,170 ,232 232 ,275 
Paine& ,82766 ,1470 ,1776.1 ,25 ,30.2 ,257 ,310.5 ,254 ,306.9 ,0 1 0 ,2 0 ,4 8 ,3 ,6 ,29 ,83 ,85 ,132 152 ,271 
Pedro Aguirre Cerda& ,107803 ,3677 ,3410.9 ,155 ,143.8 ,278 ,257.9 ,277 ,257.0 ,0 0 3 ,6 15 ,25 47 ,32 ,72 ,180 ,364 ,426 ,386 506 ,574 
Penaflor8 ,101058 ,2325 ,2300.7 ,79 ,78.2 ,244 ,241.4 ,243 ,240.5 ,1 2 5 ,3 9 ,6 9 ,15 ,28 ,58 ,109 ,206 ,308 310 ,341 
Penalolen& ,266798 ,10300 ,3860.6 ,226 ,84.7 ,702 ,263.1 ,700 ,262.4 ,1 2 9 ,30 36 ,41 53 ,71 ,123 ,398 ,969 ,1322 ,1634 1570 ,1422 
Pirque ,30433 ,931 ,3059.2 ,21 ,69.0 ,103 ,338.4 ,102 ,335.2 ,0 1 3 ,1 3 ,1 5 ,5 ,17 ,38 ,58 ,71 ,161 150 ,117 
Providencia& ,157749 ,2719 ,1723.6 ,107 ,67.8 ,221 ,140.1 ,220 ,139.5 ,0 3 28 ,64 22 ,24 35 ,43 ,40 ,94 ,280 ,317 ,391 430 ,292 
Pudahuel ,253139 ,8443 ,3335.3 ,174 ,68.7 ,614 ,242.6 ,611 ,241.4 ,1 1 3 ,20 27 ,39 42 ,47 ,138 ,364 ,665 ,1011 ,1278 1257 ,1323 
Puente Alto& ,645909 ,19797 ,3065.0 ,416 ,64.4 ,1692 ,262.0 ,1684 ,260.7 ,2 3 12 ,64 104 ,184 209 ,332 ,376 ,858 ,1557 ,2191 ,2572 2592 ,2817 
