Comuna,SE,SESE,SESE,SE,SESE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SESE,SE
,9 ,10 11 ,12 13 ,14 ,15 16 ,17 18 ,19 20 ,21 ,22 ,23 24 ,25 ,26 ,27 ,28 29 ,30 
Bulnes ,O ,O O ,9 27 ,10 ,7 8 ,8 9 ,24 44 ,26 ,19 ,19 16 ,19 ,14 ,29 ,38 10 ,O 
Chillan & ,O ,1 28 ,120 117 ,75 ,33 25 ,17 16 ,20 67 ,59 ,68 ,114 124 ,174 ,140 ,170 ,179 84 ,0 
Chillan Viejo & ,O ,O 5 ,7 19 ,7 ,14 3 ,1 O ,4 15 ,22 ,12 ,27 21 ,25 ,20 ,27 ,28 19 ,O 
Cobquecura ,O ,O O ,O O ,O ,O O ,O 0 ,O O ,O ,O ,O O ,O ,O ,O ,1 O ,O 
Coelemu ,O ,O O ,O 2 ,2 ,O O ,O O ,O 2 ,6 ,11 ,8 9 ,18 ,4 ,1 ,9 1 ,O 
Coihueco & ,O ,O O ,2 3 ,4 ,6 12 ,12 3 ,1 8 ,1 ,1 ,5 11 ,17 ,11 ,31 ,43 16 ,O 
EI Carmen ,0 ,O O ,2 O ,1 ,O O ,0 0 ,1 3 ,8 ,15 ,4 16 ,10 ,7 ,7 ,16 2 ,O 
Ninhue ,O ,O O ,O O ,2 ,O 2 ,O O ,0 1 ,3 ,2 ,2 7 ,7 ,11 ,4 ,2 O ,O 
Niquen ,O ,O O ,1 O ,1 ,2 O ,O 1 ,O 5 ,3 ,11 ,17 18 ,5 ,5 ,1 ,4 4 ,0 
Pemuco ,O ,O O ,1 O ,4 ,1 O ,O O ,3 1 ,2 ,5 ,5 20 ,32 ,4 ,9 ,10 3 ,O 
Pinto ,O ,O O ,2 3 ,5 ,1 1 ,O O ,0 3 ,O ,2 ,O 3 ,8 ,9 ,4 ,16 3 ,O 
Portezuelo ,O ,O O ,0 O ,O ,O O ,0 0 ,1 4 ,2 ,O ,0 O ,4 ,0 ,1 ,5 4 ,0 
Quillon ,O ,O O ,8 8 ,8 ,1 O ,2 2 ,2 9 ,6 ,13 ,24 20 ,15 ,7 ,15 ,29 3 ,O 
Quirihue ,O ,O O ,0 1 ,2 ,O 1 ,O 1 ,7 4 ,1 ,4 ,1 1 ,8 ,9 ,5 ,13 1 ,O 
Ranquil ,0 ,O O ,1 3 ,6 ,O O ,0 O ,1 O ,O ,O ,1 4 ,8 ,2 ,2 ,9 5 ,O 
San Carlos & ,O ,O 2 ,5 11 ,9 ,3 3 ,3 3 ,7 7 ,13 ,28 ,60 92 ,55 ,44 ,62 ,37 15 ,O 
San Fabian ,O ,O O ,3 3 ,1 ,O 1 ,O O ,O O ,1 ,O ,O O ,O ,O ,O ,3 2 ,O 
San Ignacio ,O ,O O ,2 3 ,1 ,O 1 ,3 3 ,1 2 ,6 ,8 ,10 53 ,39 ,5 ,7 ,19 13 ,O 
San Nicolas ,O ,O O ,2 6 ,5 ,4 O ,O O ,2 3 ,9 ,8 ,10 5 ,3 ,10 ,15 ,23 6 ,O 
Treguaco ,O ,O O ,O O ,O ,O O ,O O ,O 1 ,O ,O ,1 O ,1 ,1 ,O ,1 1 ,O 
Yungay & ,0 ,0 O ,3 16 ,21 ,3 4 ,6 2 ,2 2 ,O ,6 ,2 5 ,11 ,13 ,4 ,13 3 ,O 
Desconocido & ,0 ,O O ,O O ,O ,O O ,O O ,O O ,O ,O ,O O ,O ,O ,O ,2 6 ,O 
