Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Natales & ,23782 ,51 ,214.4 ,O ,0.0 ,9 ,37.8 ,9 ,37.8 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Punta Arenas ,141984 ,1431 ,1007.9 ,26 ,18.3 ,89 ,62.7 ,89 ,62.7 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Torres del Paine & ,1021 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Desconocido & ,- ,70 ,- ,O ,- ,2 ,- ,2 ,- 
Total ,178362 ,1587 ,889.8 ,26 ,14.6 ,100 ,56.1 ,100 ,56.1 
