Santiago,503147,608,120.8,183,36.4,176,35.0,0,2,O,27,95,88,121,135,108,32
Talagante ,81838 ,30 ,36.7 ,9 ,11.0 ,9 ,11.0 ,0 ,0 ,0 ,0 ,4 ,7 ,7 ,4 ,8 ,0 
,21477 ,5 ,23.3 ,1 ,4.7 ,1 ,4.7 ,0 ,O ,0 ,O ,2 ,1 ,1 ,0 ,1 ,0 
Vitacura ,96774 ,133 ,137.4 ,5 ,5.2 ,5 ,5.2 ,1 ,0 ,7 ,30 ,45 ,27 ,13 ,5 ,4 ,1 
Total ,8125072 ,6700 ,82.5 ,2280 ,28.1 ,2220 ,27.3 ,2 ,6 ,43 ,317 ,924 ,982 ,1157 ,1399 ,1522 ,345 
