Semanaepidemiologica,Activos,Recuperados,Tasaactivos
8 ,1 ,O ,0.0 
9 ,26 ,0 ,0.1 
10 ,123 ,1 ,0.6 
11 ,594 ,26 ,3.1 
12 ,2339 ,124 ,12.0 
13 ,4065 ,620 ,20.9 
14 ,4640 ,2463 ,23.8 
15 ,4955 ,4685 ,25.5 
16 ,5916 ,7103 ,30.4 
17 ,8744 ,9640 ,44.9 
18 ,17645 ,13019 ,90.7 
19 ,34858 ,18384 ,179.1 
20 ,51738 ,30664 ,265.9 
21 ,61459 ,53242 ,315.8 
22 ,63099 ,82402 ,324.3 
23 ,55497 ,114701 ,285.2 
24 ,31039 ,145501 ,159.5 
