,SESESESE,SESESE,SESESE,SESE,SESE,SE,SESE,SE,SE,SE,SESE,SE
Comuna ,9 10 11 12 ,13 14 15 ,16 17 18 ,19 20 ,21 22 ,23 ,24 25 ,26 ,27 ,28 ,29 30 ,31 
Alto del Carmen ,O O O O ,O O O ,O O O ,0 O ,O 1 ,3 ,1 1 ,1 ,1 ,2 ,1 O ,O 
Caldera ,& O O O O ,0 O O ,O O 2 ,2 1 ,1 4 ,2 ,7 5 ,14 ,7 ,6 ,19 16 ,21 
Chanaral ,O O O O ,O O O ,O O O ,O O ,1 O ,2 ,6 12 ,2 ,4 ,9 ,6 12 ,9 
Copiapo ,& O O 1 O ,3 1 4 ,O 12 28 ,27 14 ,26 57 ,115 ,121 146 ,156 ,174 ,196 ,296 496 ,611 
Diego de Almagro ,1 O O O ,1 O O ,O O 1 ,1 4 ,3 6 ,3 ,9 4 ,2 ,10 ,4 ,1 4 ,1 
Freirina ,O O O O ,O O O ,1 O O ,O O ,O O ,2 ,1 5 ,3 ,10 ,23 ,3 4 ,7 
Huasco ,O O O O ,O O O ,O O 1 ,O O ,O 2 ,6 ,3 4 ,6 ,3 ,O ,1 8 ,4 
Tierra Amarilla ,O O O O ,O 2 3 ,O 2 5 ,10 2 ,O 1 ,10 ,15 11 ,5 ,14 ,22 ,22 39 ,48 
Vallenar ,& O O O O ,O O 1 ,8 12 10 ,13 3 ,6 16 ,27 ,55 66 ,53 ,73 ,60 ,34 32 ,34 
Desconocido ,& O O O O ,O O O ,O O O ,O O ,O O ,O ,O 9 ,1 ,2 ,1 ,3 2 ,O 
Total ,1 0 1 0 ,4 3 8 ,9 26 47 ,53 24 ,37 87 ,170 ,218 263 ,243 ,298 ,323 ,386 613 ,735 
