Region,Notificadosdel4al10deJulio(%),Notificadosdel11al17dejulio(%)
Arica - Parinacota ,97.7 ,94.7 
Tarapaca ,94.1 ,85.8 
Antofagasta ,92.0 ,85.3 
Atacama ,96.1 ,85.7 
Coquimbo ,95.9 ,83.2 
Valparaiso ,94.6 ,89.5 
Metropolitana ,92.3 ,86.1 
O'Higgins ,96.5 ,91.5 
Maule ,98.6 ,97.4 
Nuble ,98.8 ,99.1 
Biobio ,97.0 ,97.7 
Araucania ,96.2 ,95.7 
Los Rios ,99.2 ,99.0 
Los Lagos ,94.1 ,90.1 
Aysen ,99.1 ,99.0 
,95.8 ,79.0 
