Pucon,29782,24,80.6,7,23.5,7,23.5,001,30,4,31,302,25,O
Puren ,12188 ,7 ,57.4 ,0 ,0.0 ,O ,0.0 ,O O O ,O 2 ,O ,O 2 ,O 2 1 ,O 0 ,O 
Renaico ,10833 ,21 ,193.9 ,7 ,64.6 ,7 ,64.6 ,O O 0 ,0 O ,1 ,3 2 ,1 4 3 ,5 2 ,0 
Saavedra ,12793 ,82 ,641.0 ,17 ,132.9 ,17 ,132.9 ,O O 1 ,1 0 ,1 ,5 8 ,17 13 18 ,10 8 ,O 
Temuco8 ,302931 ,812 ,268.0 ,55 ,18.2 ,55 ,18.2 ,O 4 26 ,155 175 ,128 ,109 55 ,25 27 49 ,45 14 ,O 
Teodoro Schmidt ,15786 ,6 ,38.0 ,1 ,6.3 ,1 ,6.3 ,O O O ,1 2 ,O ,1 1 ,O O O ,1 0 ,O 
Tolten ,10055 ,14 ,139.2 ,6 ,59.7 ,6 ,59.7 ,O 0 O ,4 2 ,2 ,O 0 ,0 0 0 ,2 4 ,O 
Traiguen ,19314 ,9 ,46.6 ,5 ,25.9 ,5 ,25.9 ,O 0 O ,O 0 ,1 ,O 1 ,O O 1 ,4 2 ,O 
Victoria ,35467 ,84 ,236.8 ,5 ,14.1 ,5 ,14.1 ,O 0 1 ,2 9 ,2 ,3 28 ,21 11 2 ,1 4 ,O 
Vilcun ,30766 ,70 ,227.5 ,11 ,35.8 ,11 ,35.8 ,O O O ,6 11 ,15 ,8 3 ,5 4 5 ,7 6 ,O 
Villarrica ,59103 ,23 ,38.9 ,2 ,3.4 ,2 ,3.4 ,O 0 O ,2 10 ,6 ,1 0 ,1 0 1 ,1 1 ,O 
Total ,1014343 ,1851 ,182.5 ,269 ,26.5 ,268 ,26.4 ,1 5 32 ,216 292 ,241 ,197 196 ,134 100 145 ,162 127 ,3 
