,,,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas.,,NotificacionOToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE SE SE 16 17 18 ,SE SE SE 19 20 21 ,SE 22 ,SE SE 23 24 ,SE SE SE 25 26 27 
Ancud& ,42458 ,100 ,235.5 ,1 ,2.4 ,5 ,11.8 ,5 ,11.8 ,O 0 O 0 ,1 O ,6 ,3 1 21 ,19 23 10 ,2 ,4 4 ,1 5 O 
Calbuco ,36744 ,61 ,166.0 ,1 ,2.7 ,44 ,119.7 ,43 ,117.0 ,O O 0 3 ,1 1 ,1 ,1 0 0 ,1 0 0 ,1 ,O 1 ,18 33 0 
Castro ,47607 ,9 ,18.9 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O 2 ,O 5 ,O ,O 0 0 ,1 0 O ,O ,O 1 ,O O 0 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O 0 ,1 O ,0 ,O O O ,O 0 O ,O ,O O ,O O O 
Chonchi ,16013 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 ,O O ,O ,O O 0 ,O O O ,O ,O O ,O O O 
Cochamo ,4006 ,5 ,124.8 ,O ,0.0 ,4 ,99.9 ,4 ,99.9 ,O O 0 0 ,O 0 ,1 ,0 0 0 ,0 0 O ,O ,O O ,1 3 0 
Curaco de Velez ,4066 ,12 ,295.1 ,O ,0.0 ,11 ,270.5 ,11 ,270.5 ,0 O 0 0 ,O 0 ,O ,O 0 0 ,0 0 0 ,O ,O 1 ,O 11 O 
Dalcahue ,15069 ,7 ,46.5 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,O O ,0 ,O O O ,1 3 2 ,O ,O 1 ,O O O 
Fresia ,12656 ,9 ,71.1 ,0 ,0.0 ,2 ,15.8 ,2 ,15.8 ,O O 0 0 ,O O ,0 ,O O 0 ,O 0 O ,O ,O 7 ,1 1 0 
Frutillar ,20223 ,70 ,346.1 ,0 ,0.0 ,41 ,202.7 ,41 ,202.7 ,0 O 0 0 ,1 3 ,2 ,0 0 0 ,1 0 3 ,2 ,3 6 ,23 26 0 
Futaleufu ,2806 ,1 ,35.6 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,O O ,0 ,O 0 0 ,O 1 O ,0 ,O 0 ,0 0 O 
Hualaihue ,9525 ,13 ,136.5 ,O ,0.0 ,5 ,52.5 ,5 ,52.5 ,0 O 0 0 ,3 O ,0 ,O O O ,O 0 O ,1 ,1 1 ,3 4 0 
Llanquihue& ,18621 ,56 ,300.7 ,1 ,5.4 ,23 ,123.5 ,23 ,123.5 ,0 O 0 0 ,1 O ,0 ,O 0 0 ,5 0 O ,3 ,3 12 ,18 14 0 
Los Muermos& ,17817 ,16 ,89.8 ,0 ,0.0 ,8 ,44.9 ,8 ,44.9 ,0 O 0 1 ,0 O ,0 ,O O 0 ,1 0 O ,0 ,O 1 ,10 3 0 
Maullin ,14894 ,22 ,147.7 ,O ,0.0 ,5 ,33.6 ,5 ,33.6 ,0 O 0 0 ,O O ,1 ,O O 0 ,O 5 9 ,0 ,O 1 ,2 4 O 
Osorno ,173410 ,466 ,268.7 ,12 ,6.9 ,11 ,6.3 ,11 ,6.3 ,0 O 3 59 ,104 64 ,36 ,18 15 24 ,17 8 20 ,30 ,23 25 ,16 4 0 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,0 0 ,0 ,0 0 0 ,0 0 0 ,0 ,0 0 ,0 O 0 
Puerto Montt ,269398 ,574 ,213.1 ,4 ,1.5 ,163 ,60.5 ,162 ,60.1 ,0 1 2 14 ,18 11 ,3 ,5 1 1 ,9 18 56 ,59 ,71 99 ,114 90 2 
Puerto Octay ,9192 ,8 ,87.0 ,0 ,0.0 ,3 ,32.6 ,3 ,32.6 ,O O 0 1 ,O O ,0 ,1 1 0 ,2 0 O ,0 ,O O ,O 3 0 
Puerto Varas ,48620 ,80 ,164.5 ,1 ,2.1 ,17 ,35.0 ,17 ,35.0 ,0 O 1 0 ,2 3 ,2 ,1 O 0 ,1 4 7 ,8 ,21 9 ,10 11 0 
