,SESESESE,SESE,SE,SESE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 12 ,13 14 ,15 ,16 17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 34 
Arica ,& 1 2 1 2 ,23 70 ,68 ,53 69 ,51 45 ,89 ,147 ,194 ,279 ,273 ,295 ,352 ,446 ,683 ,786 ,764 ,591 ,548 ,75 0 
Camarones ,O 0 0 0 ,0 0 ,0 ,O O ,O 0 ,O ,0 ,O ,0 ,0 ,O ,O ,1 ,12 ,1 ,4 ,5 ,O ,1 0 
General Lagos ,O O 0 O ,O O ,O ,O O ,0 O ,O ,O ,O ,O ,0 ,O ,O ,0 ,O ,1 ,0 ,1 ,11 ,2 O 
Putre ,O O O O ,O O ,O ,O O ,O O ,O ,O ,O ,1 ,9 ,O ,1 ,7 ,12 ,9 ,1 ,8 ,8 ,O O 
Desconocido ,& O O O O ,O O ,1 ,O O ,O O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,2 ,3 ,3 ,10 ,O O 
Total ,1 2 1 2 ,23 70 ,69 ,53 69 ,51 45 ,89 ,147 ,194 ,280 ,282 ,295 ,353 ,454 ,707 ,799 ,772 ,608 ,577 ,78 0 
