Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,8503 ,43.7 ,27.4 
XV Arica y Parinacota ,36 ,14.3 ,10.0 
I Tarapaca ,141 ,36.8 ,31.9 
II Antofagasta ,280 ,40.5 ,36.9 
III Atacama ,9 ,2.9 ,2.1 
IV Coquimbo ,53 ,6.3 ,3.7 
V Valparaiso ,414 ,21.1 ,11.4 
Region Metropolitana ,6975 ,85.8 ,58.5 
VI O'Higgins ,173 ,17.5 ,10.4 
VII Maule ,127 ,11.2 ,6.3 
XVI De Nuble ,53 ,10.4 ,5.3 
VIII Del Biobio ,96 ,5.8 ,3.5 
IX Araucania ,71 ,7.0 ,3.8 
XIV Los Rios ,13 ,3.2 ,1.7 
Los Lagos ,32 ,3.6 ,2.1 
XI Aysen ,1 ,0.9 ,1.1 
XII Magallanes y la Antartica ,28 ,15.7 ,9.3 
Ignorada ,1 ,0.0 ,0.0 
