Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,15174 ,138 ,909.5 ,17 ,112.0 ,17 ,112.0 
Cabildo ,20663 ,395 ,1911.6 ,23 ,111.3 ,22 ,106.5 
Calera & ,53591 ,1228 ,2291.4 ,103 ,192.2 ,101 ,188.5 
Calle Larga ,16482 ,306 ,1856.6 ,12 ,72.8 ,12 ,72.8 
Cartagena ,25357 ,230 ,907.0 ,5 ,19.7 ,5 ,19.7 
Casablanca & ,29170 ,453 ,1553.0 ,33 ,113.1 ,33 ,113.1 
Catemu ,15213 ,257 ,1689.3 ,49 ,322.1 ,49 ,322.1 
Con Con ,45889 ,649 ,1414.3 ,41 ,89.3 ,41 ,89.3 
EI Quisco & ,17742 ,226 ,1273.8 ,18 ,101.5 ,18 ,101.5 
EI Tabo ,14338 ,261 ,1820.3 ,1 ,7.0 ,1 ,7.0 
Hijuelas & ,19099 ,312 ,1633.6 ,21 ,110.0 ,21 ,110.0 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 
La Cruz ,25321 ,320 ,1263.8 ,23 ,90.8 ,23 ,90.8 
La Ligua & ,37739 ,738 ,1955.5 ,67 ,177.5 ,65 ,172.2 
Limache & ,49931 ,1103 ,2209.0 ,78 ,156.2 ,78 ,156.2 
Llaillay ,26533 ,448 ,1688.5 ,39 ,147.0 ,39 ,147.0 
Los Andes & ,68093 ,1125 ,1652.2 ,36 ,52.9 ,36 ,52.9 
Nogales & ,23490 ,393 ,1673.1 ,50 ,212.9 ,50 ,212.9 
Olmue ,19266 ,290 ,1505.2 ,17 ,88.2 ,16 ,83.0 
Panquehue & ,7633 ,127 ,1663.8 ,4 ,52.4 ,4 ,52.4 
