11787,7,59.4,0,0.0,0,0.0,0,00,01,1,1112000O
5543 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O ,O O ,0 ,0 O O O O O O O 
29309 ,1 ,3.4 ,0 ,0.0 ,O ,0.0 ,O ,O 0 ,O O ,0 ,0 0 O 1 0 O 0 0 
8783 ,5 ,56.9 ,5 ,56.9 ,5 ,56.9 ,0 ,O O ,O O ,0 ,O 0 O O O 1 4 O 
8298 ,1 ,12.1 ,O ,0.0 ,O ,0.0 ,0 ,O 0 ,O 1 ,0 ,0 O O O 0 O 0 O 
14275 ,27 ,189.1 ,5 ,35.0 ,5 ,35.0 ,O ,O O ,1 2 ,3 ,0 4 6 1 4 5 1 O 
7639 ,34 ,445.1 ,1 ,13.1 ,1 ,13.1 ,O ,0 O ,0 1 ,9 ,2 6 7 2 5 2 O O 
10553 ,12 ,113.7 ,1 ,9.5 ,1 ,9.5 ,O ,O O ,0 2 ,4 ,O 3 0 O O 2 1 O 
891440 ,738 ,82.8 ,131 ,14.7 ,130 ,14.6 ,0 ,1 5 ,79 142 ,117 ,60 43 33 50 60 75 73 0 
