QuintadeTilcoco,&0O,O,1,OOOOOO,O,1,1,4,2,10,17,20,15,11,12,1,O
Rancagua ,& O O ,O ,9 ,4 7 3 9 13 27 ,88 ,177 ,224 ,285 ,432 ,662 ,1121 ,939 ,702 ,492 ,240 ,46 ,O 
Rengo ,& O 0 ,O ,1 ,3 O O 4 5 3 ,8 ,19 ,29 ,27 ,48 ,72 ,122 ,143 ,134 ,178 ,97 ,17 ,O 
Requinoa ,& 0 O ,O ,2 ,0 O 0 O 2 1 ,4 ,5 ,13 ,22 ,16 ,41 ,78 ,60 ,55 ,45 ,20 ,1 ,O 
Fernando ,& O O ,O ,2 ,1 1 O 2 O 2 ,8 ,9 ,23 ,16 ,22 ,27 ,55 ,59 ,51 ,59 ,46 ,10 ,O 
Vicente ,& O O ,O ,O ,3 1 O O 3 3 ,16 ,27 ,17 ,14 ,24 ,37 ,57 ,52 ,51 ,51 ,41 ,9 ,O 
Santa Cruz ,& O O ,O ,O ,1 O O 1 1 O ,5 ,4 ,10 ,7 ,18 ,21 ,15 ,20 ,22 ,24 ,12 ,5 ,O 
Desconocido ,& O O ,O ,0 ,O O 2 O O O ,1 ,2 ,12 ,O ,8 ,4 ,16 ,12 ,5 ,19 ,3 ,2 ,O 
Total ,1 0 ,1 ,23 ,17 11 13 21 48 68 ,225 ,401 ,503 ,562 ,847 ,1302 ,2120 ,1975 ,1564 ,1303 ,790 ,135 ,0 
