,Petorca,1,,1
,Puchuncavi ,5 ,4 ,9 
,Putaendo ,4 ,7 ,11 
,Quillota ,39 ,26 ,65 
,Quilpue ,50 ,35 ,85 
,Quintero ,13 ,7 ,20 
,Rinconada ,5 ,2 ,7 
,San Antonio ,38 ,30 ,68 
,San Esteban ,5 ,7 ,12 
,San Felipe ,32 ,6 ,38 
,Santa Maria ,4 ,2 ,6 
,Santo Domingo ,,2 ,2 
,Valparaiso ,87 ,63 ,150 
,Villa Alemana ,24 ,30 ,54 
,Vina del Mar ,131 ,64 ,195 
,Zapallar ,2 ,1 ,3 
,Alhue ,4 ,1 ,5 
,Buin ,91 ,19 ,110 
,Calera de Tango ,10 ,3 ,13 
,Cerrillos ,66 ,26 ,92 
,Cerro Navia ,273 ,81 ,354 
,Colina ,105 ,33 ,138 
,Conchali ,211 ,80 ,291 
,Curacavi ,16 ,4 ,20 
,EI Bosque ,202 ,68 ,270 
,EI Monte ,37 ,15 ,52 
,Estacion Central ,137 ,91 ,228 
,Huechuraba ,138 ,32 ,170 
,Independencia ,255 ,75 ,330 
,Isla de Maipo ,18 ,8 ,26 
,La Cisterna ,129 ,30 ,159 
,La Florida ,436 ,118 ,554 
,La Granja ,183 ,67 ,250 
,La Pintana ,281 ,112 ,393 
,La Reina ,86 ,20 ,106 
,Lampa ,61 ,24 ,85 
,Las Condes ,305 ,61 ,366 
,Lo Barnechea ,80 ,12 ,92 
,Lo Espejo ,177 ,36 ,213 
Metropolitana ,Lo Prado ,137 ,32 ,169 
,Macul ,137 ,27 ,164 
,Maipu ,446 ,207 ,653 
,Maria Pinto ,8 ,2 ,10 
,Melipilla ,110 ,25 ,135 
,Nunoa ,244 ,79 ,323 
,Padre Hurtado ,54 ,16 ,70 
,Paine ,44 ,14 ,58 
,Pedro Aguirre Cerda ,206 ,46 ,252 
,Penaflor ,111 ,21 ,132 
,Penalolen ,319 ,70 ,389 
,Pirque ,23 ,14 ,37 
,Providencia ,155 ,45 ,200 
,Pudahuel ,242 ,46 ,288 
,Puente Alto ,619 ,177 ,796 
,Quilicura ,163 ,37 ,200 
,Quinta Normal ,161 ,59 ,220 
,Recoleta ,301 ,86 ,387 
,Renca ,214 ,49 ,263 
,San Bernardo ,336 ,93 ,429 
,San Joaquin ,133 ,34 ,167 
,San Jose de Maipo San Miguel ,11 174 ,7 51 ,18 225 
,San Pedro ,4 ,,4 
