Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,62 ,525.8 ,1 ,8.5 ,6 ,50.9 ,6 ,50.9 
Canela ,9546 ,37 ,387.6 ,2 ,21.0 ,9 ,94.3 ,9 ,94.3 
Combarbala ,13884 ,39 ,280.9 ,O ,0.0 ,2 ,14.4 ,2 ,14.4 
Coquimbo ,& 256735 ,3106 ,1209.8 ,24 ,9.3 ,421 ,164.0 ,419 ,163.2 
Illape ,32801 ,342 ,1042.7 ,2 ,6.1 ,28 ,85.4 ,28 ,85.4 
La Higuera ,4450 ,91 ,2044.9 ,0 ,0.0 ,26 ,584.3 ,26 ,584.3 
La Serena ,& 249656 ,2669 ,1069.1 ,30 ,12.0 ,381 ,152.6 ,381 ,152.6 
Los Vilos ,23374 ,162 ,693.1 ,3 ,12.8 ,29 ,124.1 ,29 ,124.1 
Monte Patria ,& 32527 ,307 ,943.8 ,4 ,12.3 ,29 ,89.2 ,29 ,89.2 
Ovalle ,& 121269 ,1466 ,1208.9 ,22 ,18.1 ,167 ,137.7 ,167 ,137.7 
Paiguano ,4675 ,12 ,256.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Punitaqui ,12165 ,106 ,871.4 ,5 ,41.1 ,15 ,123.3 ,15 ,123.3 
Rio Hurtado ,4372 ,36 ,823.4 ,O ,0.0 ,5 ,114.4 ,5 ,114.4 
Salamanca ,29110 ,160 ,549.6 ,1 ,3.4 ,5 ,17.2 ,5 ,17.2 
Vicuna ,29741 ,157 ,527.9 ,1 ,3.4 ,14 ,47.1 ,14 ,47.1 
Desconocido ,& - ,140 ,- ,0 ,- ,11 ,- ,11 ,- 
Total ,836096 ,8892 ,1063.5 ,95 ,11.4 ,1148 ,137.3 ,1146 ,137.1 
