Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Laguna Blanca ,264 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Natales ,23782 ,58 ,243.9 ,0 ,0.0 ,5 ,21.0 ,5 ,21.0 
Porvenir ,7323 ,23 ,314.1 ,0 ,0.0 ,13 ,177.5 ,13 ,177.5 
Primavera ,694 ,3 ,432.3 ,0 ,0.0 ,2 ,288.2 ,2 ,288.2 
Punta Arenas ,& 141984 ,2202 ,1550.9 ,30 ,21.1 ,379 ,266.9 ,379 ,266.9 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Timaukel ,282 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Torres del Paine ,1021 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Desconocido ,& - ,71 ,- ,0 ,- ,0 ,- ,0 ,- 
Total ,178362 ,2381 ,1334.9 ,30 ,16.8 ,399 ,223.7 ,399 ,223.7 
