Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,565 ,1007.9 ,22 ,39.2 ,22 ,39.2 
Carahue ,25486 ,142 ,557.2 ,19 ,74.6 ,19 ,74.6 
Cholchol ,& 12341 ,41 ,332.2 ,O ,0.0 ,O ,0.0 
Collipulli ,& 26148 ,204 ,780.2 ,51 ,195.0 ,51 ,195.0 
Cunco ,18055 ,122 ,675.7 ,21 ,116.3 ,21 ,116.3 
Curacautin ,18178 ,41 ,225.5 ,5 ,27.5 ,5 ,27.5 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 
Ercilla ,8458 ,88 ,1040.4 ,21 ,248.3 ,21 ,248.3 
Freire ,25446 ,126 ,495.2 ,1 ,3.9 ,1 ,3.9 
Galvarino ,12633 ,134 ,1060.7 ,O ,0.0 ,O ,0.0 
Gorbea ,15148 ,45 ,297.1 ,O ,0.0 ,O ,0.0 
Lautaro ,40746 ,206 ,505.6 ,25 ,61.4 ,25 ,61.4 
Loncoche ,24739 ,83 ,335.5 ,O ,0.0 ,O ,0.0 
Lonquimay ,11049 ,71 ,642.6 ,O ,0.0 ,O ,0.0 
Los Sauces ,& 7517 ,60 ,798.2 ,O ,0.0 ,0 ,0.0 
Lumaco ,10050 ,44 ,437.8 ,1 ,10.0 ,1 ,10.0 
Melipeuco ,6265 ,15 ,239.4 ,2 ,31.9 ,2 ,31.9 
Nueva Imperial ,& 33777 ,157 ,464.8 ,11 ,32.6 ,11 ,32.6 
Padre Las Casas ,& 82110 ,262 ,319.1 ,21 ,25.6 ,21 ,25.6 
Perquenco ,7223 ,63 ,872.2 ,11 ,152.3 ,11 ,152.3 
Pitrufquen ,& 26096 ,109 ,417.7 ,4 ,15.3 ,4 ,15.3 
