Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto de Carmen ,5729 ,36 ,628.4 ,1 ,17.5 ,1 ,17.5 
Caldera ,19426 ,268 ,1379.6 ,28 ,144.1 ,28 ,144.1 
Chanaral ,& 13164 ,126 ,957.2 ,28 ,212.7 ,28 ,212.7 
Copiapo ,& 171766 ,3955 ,2302.6 ,185 ,107.7 ,185 ,107.7 
Diego de Almagro ,14358 ,179 ,1246.7 ,52 ,362.2 ,52 ,362.2 
Freirina ,& 7681 ,130 ,1692.5 ,12 ,156.2 ,12 ,156.2 
Huasco ,& 11264 ,78 ,692.5 ,7 ,62.1 ,7 ,62.1 
Tierra Amarilla ,& 14312 ,337 ,2354.7 ,25 ,174.7 ,25 ,174.7 
Vallenar ,57009 ,758 ,1329.6 ,97 ,170.1 ,97 ,170.1 
Desconocido ,& - ,35 ,- ,2 ,- ,2 ,- 
Total ,314709 ,5902 ,1875.4 ,437 ,138.9 ,437 ,138.9 
