Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,44143 ,466 ,1055.7 ,10 ,22.7 ,10 ,22.7 
Chanco ,9331 ,90 ,964.5 ,10 ,107.2 ,10 ,107.2 
Colbun ,& 22565 ,319 ,1413.7 ,21 ,93.1 ,21 ,93.1 
Constitucion ,& 50348 ,498 ,989.1 ,2 ,4.0 ,2 ,4.0 
Curepto ,9426 ,136 ,1442.8 ,9 ,95.5 ,9 ,95.5 
Curico ,& 163626 ,2697 ,1648.3 ,129 ,78.8 ,129 ,78.8 
Empedrado ,4206 ,43 ,1022.3 ,0 ,0.0 ,O ,0.0 
Hualane ,10222 ,127 ,1242.4 ,6 ,58.7 ,6 ,58.7 
Licanten ,& 6989 ,151 ,2160.5 ,68 ,973.0 ,68 ,973.0 
Linares ,& 101073 ,1312 ,1298.1 ,50 ,49.5 ,50 ,49.5 
Longavi ,& 32810 ,526 ,1603.2 ,44 ,134.1 ,44 ,134.1 
Maule ,& 60000 ,800 ,1333.3 ,80 ,133.3 ,80 ,133.3 
Molina ,49800 ,652 ,1309.2 ,68 ,136.5 ,68 ,136.5 
Parral ,44544 ,449 ,1008.0 ,81 ,181.8 ,81 ,181.8 
Pelarco ,9083 ,151 ,1662.4 ,3 ,33.0 ,3 ,33.0 
Pelluhue ,8092 ,102 ,1260.5 ,1 ,12.4 ,1 ,12.4 
Pencahue ,8601 ,124 ,1441.7 ,11 ,127.9 ,11 ,127.9 
Rauco ,11248 ,142 ,1262.4 ,14 ,124.5 ,13 ,115.6 
Retiro ,21071 ,267 ,1267.1 ,33 ,156.6 ,33 ,156.6 
Rio Claro ,14753 ,178 ,1206.5 ,20 ,135.6 ,20 ,135.6 
Romeral ,16170 ,345 ,2133.6 ,32 ,197.9 ,32 ,197.9 
