Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,15925 ,194 ,1218.2 ,27 ,169.5 ,27 ,169.5 
Chimbarongo ,37696 ,228 ,604.8 ,16 ,42.4 ,16 ,42.4 
Codegua ,14096 ,285 ,2021.9 ,35 ,248.3 ,35 ,248.3 
Coinco ,& 7831 ,138 ,1762.2 ,9 ,114.9 ,9 ,114.9 
Coltauco ,21263 ,352 ,1655.5 ,50 ,235.2 ,49 ,230.4 
Donihue ,22700 ,479 ,2110.1 ,25 ,110.1 ,25 ,110.1 
Graneros ,36504 ,598 ,1638.2 ,38 ,104.1 ,38 ,104.1 
La Estrella ,3114 ,38 ,1220.3 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,26749 ,368 ,1375.8 ,51 ,190.7 ,51 ,190.7 
Litueche ,6765 ,94 ,1389.5 ,O ,0.0 ,O ,0.0 
Lolol ,7289 ,67 ,919.2 ,8 ,109.8 ,8 ,109.8 
Machali ,& 59913 ,1060 ,1769.2 ,27 ,45.1 ,27 ,45.1 
Malloa ,14163 ,165 ,1165.0 ,16 ,113.0 ,16 ,113.0 
Marchihue ,7632 ,30 ,393.1 ,O ,0.0 ,O ,0.0 
Mostazal ,& 27462 ,313 ,1139.8 ,28 ,102.0 ,28 ,102.0 
Nancagua ,& 19141 ,128 ,668.7 ,14 ,73.1 ,14 ,73.1 
Navidad ,6904 ,76 ,1100.8 ,O ,0.0 ,O ,0.0 
Olivar ,14624 ,265 ,1812.1 ,20 ,136.8 ,20 ,136.8 
Palmilla ,13299 ,115 ,864.7 ,40 ,300.8 ,40 ,300.8 
Paredones ,6349 ,35 ,551.3 ,3 ,47.3 ,3 ,47.3 
Peralillo ,11848 ,73 ,616.1 ,7 ,59.1 ,7 ,59.1 
