Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,,15925 ,128 ,803.8 ,2 ,12.6 ,37 ,232.3 ,36 ,226.1 
Chimbarongo ,& ,37696 ,150 ,397.9 ,3 ,8.0 ,20 ,53.1 ,20 ,53.1 
Codegua ,& ,14096 ,163 ,1156.4 ,3 ,21.3 ,39 ,276.7 ,39 ,276.7 
Coinco ,,7831 ,93 ,1187.6 ,3 ,38.3 ,17 ,217.1 ,17 ,217.1 
Coltauco ,& ,21263 ,139 ,653.7 ,4 ,18.8 ,29 ,136.4 ,29 ,136.4 
Donihue ,& ,22700 ,336 ,1480.2 ,5 ,22.0 ,58 ,255.5 ,58 ,255.5 
Graneros ,& ,36504 ,409 ,1120.4 ,3 ,8.2 ,66 ,180.8 ,66 ,180.8 
La Estrella ,,3114 ,31 ,995.5 ,0 ,0.0 ,2 ,64.2 ,2 ,64.2 
Las Cabras ,& ,26749 ,170 ,635.5 ,4 ,15.0 ,38 ,142.1 ,37 ,138.3 
Litueche ,,6765 ,73 ,1079.1 ,1 ,14.8 ,7 ,103.5 ,7 ,103.5 
Lolol ,,7289 ,45 ,617.4 ,1 ,13.7 ,0 ,0.0 ,0 ,0.0 
Machali ,& ,59913 ,876 ,1462.1 ,8 ,13.4 ,101 ,168.6 ,101 ,168.6 
Malloa ,& ,14163 ,84 ,593.1 ,2 ,14.1 ,22 ,155.3 ,22 ,155.3 
Marchihue ,,7632 ,19 ,249.0 ,0 ,0.0 ,3 ,39.3 ,3 ,39.3 
Mostazal ,& ,27462 ,220 ,801.1 ,4 ,14.6 ,31 ,112.9 ,31 ,112.9 
Nancagua ,,19141 ,83 ,433.6 ,3 ,15.7 ,12 ,62.7 ,11 ,57.5 
Navidad ,,6904 ,74 ,1071.8 ,1 ,14.5 ,5 ,72.4 ,5 ,72.4 
Olivar ,& ,14624 ,179 ,1224.0 ,3 ,20.5 ,22 ,150.4 ,22 ,150.4 
Palmilla ,& ,13299 ,37 ,278.2 ,2 ,15.0 ,10 ,75.2 ,10 ,75.2 
Paredones ,& ,6349 ,15 ,236.3 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Peralillo ,,11848 ,51 ,430.5 ,1 ,8.4 ,3 ,25.3 ,3 ,25.3 
