Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcion,decontactosinvestigadosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Alto del Carmen ,44 ,44 ,1000 ,0 ,0 ,
Caldera ,238 ,238 ,1000 ,128 ,128 ,1000 
Chanaral ,135 ,135 ,1000 ,36 ,36 ,1000 
Copiapo ,2.598 ,2.578 ,992 ,2.190 ,2.091 ,955 
Diego de Almagro ,84 ,84 ,1000 ,11 ,11 ,1000 
Freirina ,48 ,48 ,1000 ,30 ,30 ,1000 
Huasco ,136 ,136 ,1000 ,3 ,3 ,1000 
Tierra Amarilla ,261 ,259 ,992 ,108 ,99 ,917 
Vallenar ,337 ,335 ,994 ,104 ,99 ,952 
Total ,3.881 ,3.857 ,994 ,2.610 ,2.497 ,957 
