Pais,
Magallanes y la Antart ,26.9 
V Valparaiso ,23.5 
XV Arica y Parinacota ,23.5 
VI 'Higgins ,21.6 
VII Maule ,18.8 
IX Araucania ,12.5 
VIII Del Biobio ,122 
XVI De Nuble ,10.9 
X Los Lagos ,10.3 
III Atacama ,8.8 
IV Coquimbo ,8.1 
XIV Los Rios ,5.1 
XI Aysen ,3.5 
Ignorada ,0.0 
